PC1,PC2,Animal,Day
-2.9605249748696454,1.108223003918712,black10,Day3
-1.500252460068882,-1.2501842455910996,black11,Day3
-2.7078218935486253,1.2430388045784955,black13,Day3
0.8974620142677906,-0.8918117821881779,black14,Day3
-4.5699675071226356,0.32213165136149685,black15,Day3
-5.143759865550229,-1.5855873305907935,black17,Day3
0.3205724244427609,-1.2858673949834323,black18,Day3
-2.848715437806944,0.1875098835156673,black6,Day3
-0.8740754726956578,-0.1066664736332499,black7,Day3
4.687540429296356,-0.3002581223570011,black8,Day3
2.81562133658202,1.176122498809194,black9,Day3
3.3746342926018924,3.4426742110864064,blue10,Day3
2.0732287670879392,-0.8283541217520302,blue17,Day3
3.3365247561063627,-0.8384009183508468,blue6,Day3
1.3956584812354207,0.16029478640043723,blue7,Day3
6.332281620552776,-1.5083337284355578,blue8,Day3
-1.4597079405778957,1.8074945312078774,blue9,Day3
-3.1686985699328027,-0.8520252529960983,red6,Day3
