PC1,PC2,Animal,Day
-2.6383885319832263,0.6946968933751712,black10,Day5
-4.143094661024272,-2.5813666348014905,black11,Day5
-2.7759405082707285,-0.24946269078577177,black13,Day5
2.1281134076047112,-2.256135884196525,black14,Day5
-3.5583499963269296,0.43407029631786037,black15,Day5
-0.021228780110617004,-0.6258448800232601,black17,Day5
-1.6091814887814315,-1.621183326652211,black18,Day5
-0.08329602847081219,1.067705533518838,black6,Day5
-3.739981726046342,0.8709521683528045,black7,Day5
5.7975953368886115,-0.2677134823068546,black8,Day5
-0.11730958570800701,1.8637751546833983,black9,Day5
-0.20527774693196707,0.4606804817148562,blue10,Day5
-1.8173421691171623,-1.0540989119761084,blue17,Day5
2.35048813259185,0.27088271237642064,blue6,Day5
2.5476990867863436,1.211322384396242,blue7,Day5
6.2678108812855955,-0.6690440248294963,blue8,Day5
-3.0254675278375314,1.7530318725086398,blue9,Day5
4.643151905451918,0.6977323383274876,red6,Day5
