PC1,PC2,Animal,Day
-3.125988947186079,0.2851623700662518,black10,Day4
-0.7205966077405377,-0.9335817081284622,black11,Day4
-4.520259221845538,-0.9593996371157514,black13,Day4
0.7521433024951953,-1.5789878388053575,black14,Day4
-6.914493044937263,-1.429601431008596,black15,Day4
1.1681133622302073,-1.7902874639620574,black17,Day4
2.824990438205942,-0.4508397197028879,black18,Day4
0.1445128485187496,0.9857164314723363,black6,Day4
1.2311417609232904,0.09031637881769898,black7,Day4
4.322883438542134,-0.8743463786925871,black8,Day4
-3.192331519060973,1.9803873674498937,black9,Day4
-0.46065454050985283,1.5360522129121275,blue10,Day4
0.4070119926122314,-1.5349195216737201,blue17,Day4
4.899420797934507,1.3311941403047218,blue6,Day4
0.8740536899969067,0.3351230999668704,blue7,Day4
5.182598146648298,0.28671861896697437,blue8,Day4
-4.154885273440288,1.8503297901373423,blue9,Day4
1.2823393766130702,0.8709632889952021,red6,Day4
