PC1,PC2,Animal,Day
-4.306535980151965,-0.579646171198555,black10,Day1
-1.7159235186209878,0.6783613998772232,black11,Day1
0.5519252482279707,1.0420458794840883,black13,Day1
4.672510162029195,-1.7082933499231132,black14,Day1
-2.019560817316012,-0.867762147019957,black15,Day1
-5.542681171074682,-0.9451759406047768,black17,Day1
-3.457062887055041,-0.16053047919795144,black18,Day1
-3.2687802243751514,-0.14059135589165575,black6,Day1
-0.9035869289232376,0.787761234098205,black7,Day1
2.6471041093106518,1.8722005299623652,black8,Day1
5.632581290579266,-0.46246714529658084,black9,Day1
7.962465950217197,-0.13276286256885128,blue10,Day1
-0.24149857388528076,1.247443444746787,blue17,Day1
0.2885903040422645,-0.012582821720385178,blue6,Day1
-0.8873109717535145,1.1581290268389244,blue7,Day1
-0.0535367995086807,-0.2915637403331769,blue8,Day1
0.8110199214637769,-1.47679854045561,blue9,Day1
-0.1697191132057665,-0.007766960796979015,red6,Day1
