PC1,PC2,Animal,Day
-3.3751567232128576,5.288079948198265,black10,Day2
-1.8386140593566818,-1.28200328893372,black11,Day2
-2.2955984215619414,1.760571684432864,black13,Day2
3.4843120413113637,-1.0058182069668704,black14,Day2
-3.1514282917984002,0.1505601572229758,black15,Day2
-6.238601176308689,-1.3269951039382082,black17,Day2
-0.801093884726173,-1.877534552890246,black18,Day2
-3.942298442226276,-0.8724752465568734,black6,Day2
1.9344035204181915,0.058381007072330494,black7,Day2
2.2955473066763714,-0.834906897918084,black8,Day2
4.33413133921846,1.139275299082036,black9,Day2
4.868511079128779,1.8771497532158152,blue10,Day2
-1.887027633599632,-0.4321685492196237,blue17,Day2
1.3837707877765903,-1.413761299505196,blue6,Day2
0.7787828571893737,-0.5487332057940317,blue7,Day2
1.2175672620974254,-0.7649735398541591,blue8,Day2
2.8437706043381867,0.19663262758571526,blue9,Day2
0.38902183463590956,-0.11128058523298992,red6,Day2
