Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: first_v7 Finished,Trial name: first_v7 started
0.002,0.062,0.0,0.024,0.015,0.032,6.06,6.059,3.962,3.96,6.06,1300.938,3.652,3.452,6.061,0.0
1.013,1.073,0.04,0.066,0.051,0.1,11.79,11.789,9.782,9.775,11.789,,9.474,9.274,11.79,6.062
1.238,1.315,0.088,0.109,0.116,0.128,17.884,17.884,15.807,15.8,17.884,,15.499,15.299,17.885,11.79
2.623,2.667,0.122,0.133,0.139,0.151,25.315,25.315,23.302,23.295,25.315,,22.994,22.794,25.316,17.885
4.126,4.216,0.145,0.159,0.167,0.187,31.281,31.28,29.205,29.198,31.28,,28.897,28.697,31.281,25.316
4.311,4.406,0.177,0.2,0.246,0.331,36.993,36.992,34.898,34.892,36.993,,34.591,34.39,36.993,31.282
9.834,9.884,0.231,0.26,0.374,0.422,43.125,43.124,41.058,41.051,43.124,,40.75,40.55,43.125,36.994
9.971,10.023,0.309,0.357,0.458,0.491,48.912,48.911,46.893,46.886,48.912,,46.584,46.384,48.912,43.126
10.105,10.169,0.44,0.476,0.711,0.759,56.246,56.245,54.231,54.225,56.246,,53.924,53.723,56.247,48.913
10.254,10.315,0.513,0.604,0.78,0.795,62.834,62.833,60.829,60.822,62.833,,60.521,60.321,62.834,56.247
10.919,11.001,0.637,0.743,0.808,0.821,68.97,68.969,66.942,66.935,68.969,,66.634,66.434,68.97,62.834
15.8,15.839,0.77,0.788,0.835,0.854,76.372,76.371,74.32,74.313,76.371,,74.012,73.812,76.372,68.97
15.932,15.988,0.801,0.815,0.886,0.928,83.405,83.404,81.346,81.339,83.404,,81.038,80.838,83.405,76.372
16.053,16.11,0.828,0.843,0.942,0.954,89.083,89.082,87.032,87.025,89.083,,86.724,86.524,89.084,83.406
16.175,16.236,0.935,0.947,0.969,0.99,96.42,96.419,94.364,94.357,96.419,,94.056,93.856,96.42,89.084
