Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: Omer1-22.12.24 Finished,Trial name: Omer1-22.12.24 started
2.244,2.308,0.143,0.167,0.0,0.157,5.939,5.938,3.938,3.938,5.939,1300.537,3.587,3.387,5.94,0.0
4.8,4.881,0.186,0.206,0.176,0.195,11.717,11.716,9.722,9.715,11.716,,9.414,9.214,11.717,5.942
9.693,9.754,0.273,0.295,0.221,0.259,19.093,19.092,17.098,17.091,19.092,,16.79,16.59,19.093,11.718
9.825,9.889,0.32,0.377,0.285,0.307,24.766,24.765,22.771,22.764,24.766,,22.463,22.263,24.767,19.093
10.236,10.352,0.412,0.457,0.338,0.439,31.946,31.945,29.952,29.945,31.946,,29.644,29.444,31.947,24.767
11.681,16.272,0.482,0.525,0.47,0.494,38.038,38.038,36.044,36.037,38.038,,35.736,35.536,38.039,31.947
16.204,17.175,0.558,0.576,0.546,0.567,44.048,44.047,42.053,42.046,44.047,,41.745,41.545,44.048,38.039
17.09,17.382,0.589,0.603,0.582,0.596,50.374,50.373,48.379,48.372,50.373,,48.071,47.871,50.374,44.048
17.286,17.488,0.624,0.65,0.61,0.666,57.344,57.343,55.349,55.342,57.343,,55.041,54.841,57.344,50.374
17.438,17.591,0.676,0.691,0.684,0.7,64.111,64.11,62.116,62.109,64.111,,61.808,61.608,64.112,57.345
17.539,17.693,0.706,0.721,0.714,0.729,70.924,70.923,68.93,68.922,70.924,,68.622,68.422,70.924,64.112
17.641,17.807,0.737,0.759,0.747,0.78,77.728,77.727,75.733,75.726,77.727,,75.425,75.225,77.728,70.925
17.749,17.925,0.842,0.945,0.818,0.864,84.545,84.544,82.55,82.543,84.544,,82.242,82.042,84.545,77.729
17.868,18.048,1.002,1.118,0.914,0.975,90.504,90.503,88.509,88.502,90.503,,88.201,88.001,90.504,84.545
17.987,18.174,1.207,1.292,1.041,1.069,97.387,97.387,95.393,95.386,97.387,,95.085,94.885,97.388,90.504
18.109,18.297,1.457,1.769,1.325,1.364,103.487,103.486,101.492,101.485,103.486,,101.184,100.984,103.487,97.388
18.233,18.435,1.865,1.968,1.51,1.587,109.622,109.621,107.627,107.62,109.621,,107.319,107.119,109.622,103.487
18.369,18.578,2.029,2.061,1.655,2.049,115.384,115.383,113.389,113.382,115.383,,113.081,112.881,115.384,109.622
18.508,18.752,2.08,2.097,2.07,2.088,121.527,121.527,119.533,119.526,121.527,,119.225,119.025,121.528,115.384
18.678,18.9,2.119,2.195,2.107,2.133,127.682,127.681,125.687,125.68,127.681,,125.379,125.179,127.682,121.528
18.828,21.102,2.215,2.245,2.182,2.206,134.67,134.669,132.675,132.668,134.669,,132.368,132.167,134.67,127.683
21.052,21.219,2.296,2.34,2.228,2.317,142.164,142.163,140.169,140.162,142.163,,139.861,139.661,142.164,134.67
21.158,21.343,2.412,2.524,2.49,2.553,148.69,148.689,146.696,146.689,148.69,,146.388,146.188,148.691,142.165
21.276,21.917,2.582,2.622,2.637,2.653,155.949,155.949,153.955,153.948,155.949,,153.647,153.447,155.95,148.691
21.821,22.36,2.646,2.661,2.668,2.684,163.139,163.138,161.144,161.137,163.138,,160.836,160.636,163.139,155.95
22.255,22.691,2.676,2.694,2.741,2.758,169.674,169.673,167.679,167.672,169.673,,167.371,167.171,169.674,163.139
22.629,22.89,2.729,2.75,2.773,2.79,175.618,175.617,173.623,173.616,175.617,,173.315,173.115,175.618,169.674
22.8,22.989,2.766,2.781,2.808,2.831,181.56,181.559,179.565,179.558,181.559,,179.257,179.057,181.56,175.618
22.952,23.087,2.798,2.818,2.87,2.911,187.09,187.089,185.096,185.089,187.09,,184.787,184.588,187.091,181.561
23.04,23.194,2.846,2.937,3.243,3.327,194.425,194.424,192.431,192.424,194.425,,192.122,191.922,194.426,187.091
23.144,23.306,3.014,3.718,3.445,3.535,200.498,200.497,198.504,198.497,200.498,,198.196,197.996,200.498,194.426
23.251,23.425,3.742,3.758,3.731,3.75,206.129,206.128,204.135,204.128,206.129,,203.827,203.627,206.13,200.499
23.367,23.551,3.773,3.788,3.765,3.779,213.109,213.108,211.115,211.108,213.109,,210.807,210.607,213.109,206.13
23.486,23.679,3.808,3.85,3.796,3.862,220.044,220.043,218.049,218.042,220.044,,217.742,217.542,220.044,213.11
23.616,23.81,3.869,3.883,3.876,3.938,226.647,226.646,224.652,224.645,226.646,,224.344,224.144,226.647,220.045
23.743,23.951,4.046,4.19,4.014,4.065,233.997,233.996,232.002,231.995,233.996,,231.694,231.494,233.997,226.648
23.879,24.095,4.27,4.342,4.141,4.577,239.861,239.86,237.866,237.859,239.86,,237.558,237.358,239.861,233.998
24.026,24.242,4.561,4.587,4.595,4.61,246.929,246.928,244.934,244.927,246.928,,244.626,244.426,246.929,239.862
24.184,24.389,4.602,4.617,4.624,4.639,252.528,252.527,250.534,250.527,252.528,,250.226,250.025,252.528,246.93
24.35,26.679,4.632,4.647,4.655,4.674,259.111,259.11,257.116,263.399,259.11,,256.808,256.608,259.111,252.529
26.612,26.827,4.663,4.699,4.737,4.757,265.401,265.4,263.407,270.233,265.4,,263.098,262.898,265.401,259.111
26.757,27.231,4.72,4.748,4.775,4.796,272.235,272.234,270.24,276.749,272.234,,269.932,269.732,272.235,265.401
27.157,27.391,4.765,4.783,4.856,4.888,278.751,278.75,276.756,283.823,278.75,,276.448,276.248,278.751,272.235
27.314,27.94,4.822,4.832,4.977,5.013,285.824,285.823,283.83,290.687,285.824,,283.521,283.321,285.825,278.751
27.858,28.104,4.873,4.914,5.04,5.071,292.688,292.688,290.694,297.992,292.688,,290.386,290.186,292.689,285.825
28.025,28.378,4.956,4.991,5.088,5.105,299.994,299.993,297.999,304.032,299.993,,297.691,297.491,299.994,292.689
28.292,28.556,5.059,5.08,5.122,5.149,306.034,306.033,304.039,316.061,306.033,,303.731,303.531,306.034,299.994
28.471,28.722,5.097,5.113,5.187,5.217,311.819,311.818,309.824,323.366,311.818,,309.516,309.316,311.819,306.034
28.992,28.899,5.134,5.203,5.242,5.275,318.063,318.062,316.068,330.428,318.063,,315.76,315.56,318.063,311.819
29.188,29.058,5.228,5.256,5.34,5.628,325.367,325.366,323.373,336.154,325.367,,323.065,322.865,325.368,318.064
29.36,29.267,5.303,5.365,5.802,5.855,332.429,332.428,330.435,342.07,332.429,,330.127,329.927,332.429,325.368
29.535,29.443,5.728,6.081,5.988,6.015,338.156,338.155,336.161,349.508,338.155,,335.853,335.654,338.156,332.43
29.874,29.615,6.057,6.165,6.046,6.068,344.072,344.071,342.077,356.013,344.071,,341.768,341.568,344.072,338.156
30.0,29.935,6.104,6.289,6.091,6.125,351.51,351.509,349.515,363.37,351.509,,349.207,349.007,351.51,344.072
30.125,30.076,6.215,6.375,6.14,6.186,358.015,358.014,356.02,370.062,358.014,,355.712,355.512,358.015,351.51
30.222,30.17,6.329,6.525,6.252,6.312,365.372,365.371,363.377,377.105,365.372,,363.069,362.869,365.372,358.016
30.323,30.271,6.435,6.702,6.349,6.407,372.064,372.063,370.069,384.455,372.063,,369.761,369.561,372.064,365.373
30.436,30.377,6.613,7.057,6.817,7.325,379.107,379.106,377.112,391.164,379.106,,376.804,376.604,379.107,372.064
30.553,30.492,6.766,7.988,7.393,7.429,386.457,386.456,384.462,398.084,386.456,,384.154,383.954,386.457,379.107
30.676,30.613,7.887,8.022,7.511,7.976,393.166,393.165,391.171,403.897,393.166,,390.863,390.663,393.166,386.457
30.812,30.744,8.006,8.064,7.997,8.014,400.086,400.085,398.091,410.748,400.085,,403.596,397.583,400.086,393.167
