Animal,Control,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Prediction,Reward
black10,0.07653061224489796,0.07142857142857142,0.08673469387755102,0.09693877551020408,0.10204081632653061,0.08163265306122448,0.061224489795918366,0.05102040816326531,0.09183673469387756,0.0663265306122449,0.09183673469387756,0.03571428571428571,0.44387755102040816
black11,0.1875,0.21875,0.19270833333333334,0.19791666666666666,0.20833333333333334,0.15104166666666666,0.14583333333333334,0.18229166666666666,0.203125,0.16666666666666666,0.328125,0.3697916666666667,0.9791666666666666
black13,0.2916666666666667,0.2708333333333333,0.3125,0.375,0.25,0.21875,0.2604166666666667,0.375,0.3541666666666667,0.3333333333333333,0.3645833333333333,0.6145833333333334,1.15625
black14,0.6120218579234973,0.644808743169399,0.5409836065573771,0.6174863387978142,0.5409836065573771,0.5628415300546448,0.5136612021857924,0.5792349726775956,0.6065573770491803,0.5737704918032787,0.5191256830601093,0.4371584699453552,0.7103825136612022
black15,0.20408163265306123,0.2193877551020408,0.17346938775510204,0.1989795918367347,0.21428571428571427,0.24489795918367346,0.18877551020408162,0.20408163265306123,0.18877551020408162,0.18877551020408162,0.21428571428571427,0.19387755102040816,0.4489795918367347
black17,0.030303030303030304,0.010101010101010102,0.015151515151515152,0.020202020202020204,0.010101010101010102,0.020202020202020204,0.010101010101010102,0.030303030303030304,0.015151515151515152,0.010101010101010102,0.015151515151515152,0.010101010101010102,0.1111111111111111
black18,0.11398963730569948,0.10362694300518134,0.13471502590673576,0.11398963730569948,0.11917098445595854,0.17616580310880828,0.11917098445595854,0.10362694300518134,0.09326424870466321,0.12435233160621761,0.09844559585492228,0.08290155440414508,0.7305699481865285
black6,0.11794871794871795,0.16923076923076924,0.20512820512820512,0.13333333333333333,0.13846153846153847,0.10256410256410256,0.08717948717948718,0.12307692307692308,0.11282051282051282,0.09743589743589744,0.10256410256410256,0.13846153846153847,0.6974358974358974
black7,0.29591836734693877,0.25510204081632654,0.2602040816326531,0.1989795918367347,0.25,0.17346938775510204,0.14795918367346939,0.22448979591836735,0.3010204081632653,0.22448979591836735,0.25510204081632654,0.4897959183673469,1.0
black8,0.43523316062176165,0.44559585492227977,0.3471502590673575,0.41450777202072536,0.40932642487046633,0.41968911917098445,0.40932642487046633,0.39378238341968913,0.43005181347150256,0.45077720207253885,0.35233160621761656,0.6476683937823834,1.8756476683937824
black9,0.5939086294416244,0.6040609137055838,0.6649746192893401,0.6040609137055838,0.7411167512690355,0.5786802030456852,0.5380710659898477,0.5177664974619289,0.49746192893401014,0.4619289340101523,0.934010152284264,0.5736040609137056,1.2944162436548223
blue10,0.6787564766839378,0.7202072538860104,0.6269430051813472,0.689119170984456,0.6528497409326425,0.6683937823834197,0.7616580310880829,0.8186528497409327,0.8031088082901554,0.8290155440414507,0.7616580310880829,0.7979274611398963,1.4196891191709844
blue17,0.30456852791878175,0.2893401015228426,0.29949238578680204,0.233502538071066,0.20304568527918782,0.2182741116751269,0.2893401015228426,0.22842639593908629,0.233502538071066,0.23857868020304568,0.4263959390862944,0.4619289340101523,1.3401015228426396
blue6,0.3065326633165829,0.38190954773869346,0.3165829145728643,0.2964824120603015,0.36180904522613067,0.2964824120603015,0.2864321608040201,0.32663316582914576,0.2964824120603015,0.3165829145728643,0.2814070351758794,0.3165829145728643,1.0552763819095476
blue7,0.27040816326530615,0.25,0.21428571428571427,0.22959183673469388,0.1989795918367347,0.23979591836734693,0.19387755102040816,0.20918367346938777,0.23469387755102042,0.25510204081632654,0.2653061224489796,0.44387755102040816,1.25
blue8,0.37823834196891193,0.30569948186528495,0.41450777202072536,0.32642487046632124,0.29015544041450775,0.30569948186528495,0.24870466321243523,0.2538860103626943,0.2694300518134715,0.20725388601036268,0.24352331606217617,0.3626943005181347,0.8393782383419689
blue9,0.38071065989847713,0.4010152284263959,0.38071065989847713,0.38071065989847713,0.39593908629441626,0.36548223350253806,0.3553299492385787,0.36548223350253806,0.2893401015228426,0.3299492385786802,0.3299492385786802,0.3096446700507614,0.4517766497461929
red6,0.291005291005291,0.2751322751322751,0.2804232804232804,0.35978835978835977,0.2962962962962963,0.30158730158730157,0.30687830687830686,0.3386243386243386,0.2328042328042328,0.2275132275132275,0.2962962962962963,0.26455026455026454,1.0687830687830688
