Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: Omer1-22.12.24 Finished,Trial name: Omer1-22.12.24 started
55.658,55.668,0.0,0.009,0.014,0.024,6.899,6.889,4.892,4.888,6.89,1307.848,4.58,4.38,6.9,0.0
111.672,112.183,0.02,0.029,0.033,0.042,12.634,12.624,10.632,10.623,12.624,,10.322,10.122,12.634,6.901
112.232,112.275,0.038,0.046,0.049,0.058,19.547,19.538,17.545,17.537,19.538,,17.236,17.036,19.548,12.635
112.343,112.382,0.054,0.061,0.065,0.072,26.89,32.808,24.887,24.879,26.881,,24.578,24.378,26.891,19.548
112.45,112.5,0.068,0.075,0.079,0.086,32.818,38.452,30.816,30.808,32.809,,30.507,30.307,32.819,26.891
112.576,112.611,0.082,0.09,0.094,0.101,38.462,45.003,36.459,36.451,38.452,,36.15,35.95,38.462,32.819
112.691,112.728,0.097,0.105,0.109,0.118,45.013,52.329,43.01,43.002,45.003,,42.701,42.501,45.013,38.462
112.805,112.854,0.114,0.124,0.129,0.146,52.339,58.592,50.337,50.329,52.33,,50.028,49.828,52.34,45.014
112.925,112.977,0.137,0.183,0.175,0.191,58.602,65.777,56.599,56.591,58.592,,56.29,56.09,58.602,52.34
112.993,113.09,0.197,0.208,0.203,0.213,65.786,71.844,63.783,63.776,65.777,,63.474,63.274,65.787,58.603
113.138,113.228,0.217,0.225,0.221,0.23,71.854,78.762,69.851,69.843,71.844,,69.542,69.342,71.854,65.787
113.301,113.321,0.234,0.243,0.238,0.247,78.772,86.19,76.77,76.762,78.763,,76.461,76.261,78.773,71.855
113.342,113.361,0.252,0.263,0.257,0.269,86.2,93.072,84.198,84.19,86.191,,83.889,83.689,86.201,78.773
113.45,113.461,0.276,0.327,0.288,0.32,93.082,100.046,91.079,91.071,93.072,,90.77,90.57,93.082,86.201
113.497,113.508,0.338,0.345,0.333,0.342,100.056,106.088,98.053,98.045,100.046,,97.744,97.544,100.056,93.083
113.616,113.636,0.353,0.359,0.349,0.355,106.098,113.588,104.095,104.087,106.088,,103.786,103.586,106.098,100.056
113.689,113.754,0.364,0.37,0.361,0.367,113.598,119.915,111.595,111.587,113.589,,111.286,111.086,113.599,106.098
113.783,113.826,0.375,0.38,0.372,0.378,119.925,126.26,117.923,117.915,119.916,,117.614,117.414,119.926,113.599
113.842,113.871,0.385,0.39,0.383,0.388,126.27,133.025,124.267,124.259,126.26,,123.958,123.758,126.271,119.926
113.936,114.06,0.395,0.401,0.393,0.398,133.034,140.278,131.032,131.024,133.025,,130.723,130.523,133.035,126.271
114.137,114.161,0.406,0.411,0.403,0.409,140.288,146.684,138.285,138.277,140.278,,137.976,137.776,140.288,133.035
114.181,114.259,0.416,0.422,0.414,0.42,146.694,152.202,144.691,144.683,146.684,,144.382,144.182,146.694,140.288
114.48,114.515,0.428,0.434,0.425,0.431,152.212,159.517,150.209,150.201,152.202,,149.9,149.7,152.212,146.694
115.107,115.135,0.44,0.448,0.437,0.444,159.527,165.665,157.524,157.516,159.517,,157.215,157.015,159.527,152.213
115.222,115.242,0.457,0.468,0.452,0.461,165.675,171.923,163.673,163.665,165.666,,163.364,163.164,165.676,159.528
115.246,115.29,0.499,0.51,0.505,0.515,171.933,179.295,169.93,169.922,171.924,,169.621,169.421,171.933,165.676
115.375,115.388,0.518,0.524,0.522,0.527,179.305,185.254,177.302,177.294,179.296,,176.993,176.793,179.305,171.934
115.392,115.547,0.531,0.536,0.534,0.539,185.263,190.859,183.261,183.253,185.254,,182.952,182.752,185.264,179.306
115.983,116.049,0.541,0.546,0.544,0.548,190.869,197.758,188.866,188.859,190.86,,188.557,188.357,190.87,185.264
116.146,116.194,0.551,0.555,0.553,0.558,197.768,204.213,195.765,195.757,197.758,,195.456,195.256,197.768,190.87
116.265,116.284,0.559,0.564,0.561,0.566,204.223,211.372,202.22,202.212,204.213,,201.911,201.711,204.223,197.768
117.783,117.803,0.568,0.572,0.57,0.575,211.382,218.617,209.379,209.371,211.372,,209.07,208.87,211.382,204.224
118.115,118.19,0.577,0.581,0.579,0.584,218.627,225.735,216.624,216.616,218.617,,216.315,216.115,218.627,211.383
118.209,118.311,0.586,0.59,0.588,0.593,225.745,232.552,223.742,223.734,225.736,,223.434,223.233,225.745,218.627
118.373,118.432,0.596,0.6,0.598,0.603,232.562,239.653,230.559,230.551,232.552,,230.25,230.05,232.562,225.746
118.459,118.671,0.606,0.612,0.609,0.616,239.663,247.041,245.048,245.04,239.653,,237.351,237.151,239.663,232.562
118.701,118.84,0.619,0.63,0.624,0.661,247.051,253.758,251.765,251.757,247.042,,244.739,244.539,247.052,239.664
118.903,118.927,0.655,0.665,0.669,0.676,253.767,261.035,259.042,259.034,253.758,,251.456,251.256,253.768,247.052
118.956,118.978,0.672,0.679,0.681,0.686,261.045,268.547,266.554,266.546,261.035,,258.733,258.533,261.046,253.768
119.0,119.032,0.684,0.689,0.691,0.695,268.557,276.018,274.025,274.017,268.547,,266.245,266.045,268.557,261.046
119.094,119.119,0.693,0.697,0.699,0.704,276.028,282.227,280.234,280.226,276.018,,273.716,273.516,276.028,268.557
119.149,119.434,0.701,0.705,0.707,0.71,282.237,288.446,286.454,286.446,282.228,,279.925,279.725,282.238,276.028
119.55,119.646,0.709,0.712,0.714,0.717,288.456,294.791,292.798,292.79,288.447,,286.145,285.945,288.457,282.238
119.719,119.836,0.715,0.718,0.72,0.723,294.801,300.318,298.325,298.317,294.791,,292.489,292.289,294.801,288.457
119.944,120.013,0.721,0.725,0.726,0.729,300.328,306.275,304.282,304.274,300.318,,298.016,297.816,300.328,294.801
120.136,120.17,0.728,0.73,0.732,0.735,306.284,311.985,309.993,309.985,306.275,,303.973,303.773,306.285,300.329
132.185,132.258,0.733,0.736,0.738,0.741,311.995,317.916,315.923,315.915,311.986,,309.684,309.484,311.996,306.285
132.259,132.328,0.739,0.741,0.742,0.745,317.926,324.819,322.827,322.819,317.916,,315.614,315.414,317.926,311.996
132.9,132.965,0.744,0.746,0.748,0.751,324.829,331.038,329.045,329.037,324.82,,322.518,322.317,324.83,317.927
133.204,133.258,0.749,0.752,0.753,0.756,331.048,336.879,334.886,334.878,331.038,,328.736,328.536,331.048,324.83
133.361,133.407,0.755,0.758,0.759,0.762,336.889,342.505,340.512,340.504,336.879,,334.577,334.377,336.889,331.048
139.021,139.124,0.76,0.763,0.765,0.767,342.515,348.581,346.589,346.581,342.505,,340.203,340.003,342.515,336.889
139.498,139.56,0.766,0.769,0.77,0.773,348.591,355.691,353.698,353.69,348.582,,346.28,346.08,348.592,342.516
139.776,139.836,0.772,0.775,0.776,0.779,355.701,363.105,361.112,361.104,355.691,,353.389,353.189,355.701,348.592
139.939,139.989,0.777,0.781,0.782,0.785,363.115,368.761,366.768,366.76,363.105,,360.803,360.603,363.115,355.702
140.13,140.149,0.783,0.787,0.789,0.792,368.771,382.071,373.478,373.471,368.761,,366.459,366.259,368.771,363.115
150.595,150.699,0.79,0.793,0.795,0.799,375.481,389.126,380.078,380.07,375.472,,373.17,372.97,375.482,368.772
150.954,150.979,0.797,0.801,0.802,0.806,382.081,396.208,387.133,387.125,382.071,,379.769,379.569,382.081,375.482
151.063,151.1,0.804,0.809,0.811,0.815,389.136,403.361,394.215,394.207,389.126,,386.824,386.624,389.136,382.081
151.178,151.209,0.813,0.817,0.82,0.826,396.218,410.691,401.368,401.36,396.209,,393.906,393.706,396.218,389.137
151.295,151.325,0.823,0.828,0.832,0.839,403.371,416.637,408.698,408.69,403.361,,401.059,400.859,403.371,396.219
151.412,151.451,0.836,0.844,0.85,0.869,410.701,422.611,414.645,414.637,410.692,,408.389,408.189,410.702,403.371
151.539,151.581,0.858,0.884,0.948,0.97,416.647,428.33,420.618,420.61,416.638,,414.336,414.136,416.648,410.702
151.67,151.717,0.962,0.976,0.983,0.996,422.621,434.922,426.337,426.329,422.611,,420.309,420.109,422.621,416.648
151.816,151.86,0.99,1.003,1.01,1.025,428.34,442.209,432.93,432.922,428.33,,426.028,425.828,428.34,422.621
158.779,158.872,1.018,1.032,1.04,1.061,434.932,447.871,440.217,440.208,434.923,,432.621,432.421,434.933,428.341
159.063,159.115,1.05,1.073,1.086,1.105,442.219,453.423,445.878,445.87,442.209,,439.907,439.707,442.219,434.933
159.2,159.237,1.097,1.112,1.119,1.131,447.881,460.719,451.43,451.422,447.871,,445.569,445.369,447.881,442.22
159.315,159.36,1.125,1.138,1.145,1.174,453.433,467.365,458.727,458.719,453.424,,451.121,450.921,453.434,447.882
159.449,159.498,1.156,1.214,1.195,1.245,460.729,474.864,465.372,465.364,460.72,,458.418,458.218,460.73,453.434
159.589,159.642,1.258,1.27,1.265,1.275,467.375,482.125,472.871,472.863,467.365,,465.063,464.863,467.375,460.73
159.742,159.795,1.279,1.286,1.283,1.289,474.874,488.57,480.132,480.125,474.864,,472.562,472.362,474.874,467.376
168.333,168.437,1.292,1.299,1.296,1.302,482.135,495.712,486.577,486.569,482.126,,479.823,479.623,482.136,474.874
168.61,168.654,1.305,1.312,1.309,1.316,488.58,501.541,493.72,493.712,488.571,,486.268,486.068,488.58,482.136
