Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: first_v7 Finished,Trial name: first_v7 started
103.596,103.657,0.0,0.049,0.069,0.149,7.139,7.138,5.098,5.097,7.139,1311.778,4.742,4.542,7.14,0.0
109.888,109.931,0.095,0.13,0.183,0.268,14.461,14.46,12.436,12.429,14.46,,12.128,11.928,14.461,7.142
110.378,110.433,0.165,0.207,0.337,0.476,20.147,20.146,18.07,18.063,20.146,,17.762,17.562,20.147,14.461
110.635,110.666,0.295,1.652,0.555,0.643,27.345,27.344,25.284,25.277,27.344,,24.976,24.776,27.345,20.147
110.896,110.948,1.701,1.912,0.752,0.833,33.938,33.937,31.891,31.884,33.937,,31.583,31.383,33.938,27.345
111.174,111.208,1.961,2.077,0.885,1.034,40.571,40.57,38.523,38.516,40.57,,38.215,38.015,40.571,33.938
111.314,111.359,2.172,2.335,1.08,1.182,46.221,46.22,44.19,44.183,46.22,,43.882,43.682,46.221,40.571
111.469,111.498,2.415,2.547,1.269,3.124,53.679,53.679,51.601,51.594,53.679,,51.293,51.093,53.68,46.221
111.761,111.81,2.636,2.728,3.164,3.209,60.357,60.356,58.319,58.312,60.356,,58.011,57.811,60.357,53.68
111.916,111.964,2.77,3.048,3.262,3.312,66.044,66.044,63.968,63.961,66.044,,63.66,63.46,66.045,60.357
112.076,112.121,3.107,3.14,3.33,3.346,72.542,72.541,70.537,70.53,72.542,,70.229,70.029,72.542,66.045
112.241,112.292,3.189,3.298,3.366,3.41,78.938,78.937,76.87,76.864,78.938,,76.562,76.362,78.938,72.543
112.622,112.708,3.321,3.338,3.435,3.459,86.26,86.259,84.17,84.163,86.26,,83.861,83.661,86.26,78.939
112.836,112.875,3.355,3.424,3.493,3.555,93.421,93.42,91.371,91.363,93.42,,91.063,90.862,93.421,86.261
113.026,113.105,3.447,3.474,3.633,3.666,99.54,99.539,97.495,97.488,99.54,,97.187,96.987,99.54,93.422
113.21,113.225,3.585,4.716,3.843,4.158,105.411,105.41,103.336,103.329,105.41,,103.029,102.829,105.411,99.541
113.268,113.336,4.842,4.922,4.261,4.98,111.648,111.647,109.554,109.547,111.647,,109.246,109.046,111.648,105.412
116.409,116.479,5.207,5.293,5.124,5.156,118.146,118.145,116.079,116.072,118.146,,115.771,115.571,118.146,111.649
116.676,116.725,5.645,5.755,6.111,6.132,124.1,124.099,122.007,122.0,124.1,,121.699,121.499,124.1,118.147
116.814,116.862,6.048,6.097,6.153,6.192,131.64,131.639,129.57,129.563,131.639,,129.262,129.062,131.64,124.101
116.965,117.006,6.122,6.142,6.203,6.232,137.399,137.398,135.4,135.393,137.398,,135.092,134.892,137.399,131.64
117.107,117.148,6.166,6.221,6.249,6.265,143.699,143.699,141.631,141.624,143.699,,141.323,141.123,143.7,137.399
117.233,117.254,6.24,6.257,6.283,6.312,150.019,150.018,147.947,147.94,150.018,,147.639,147.439,150.019,143.7
117.262,117.315,6.273,6.295,6.792,6.882,156.725,156.725,154.663,154.656,156.725,,154.355,154.155,156.726,150.019
122.342,122.404,6.651,6.995,6.962,7.065,163.328,163.327,161.274,161.267,163.328,,160.966,160.766,163.329,156.726
122.595,122.65,7.592,7.651,7.172,7.683,169.285,169.284,167.211,167.204,169.284,,166.903,166.703,169.285,163.329
122.733,122.768,7.705,7.8,7.732,7.774,176.167,176.166,174.131,174.124,176.167,,173.823,180.144,176.168,169.285
122.858,122.903,7.846,7.899,7.877,7.923,182.728,182.727,180.652,180.645,182.727,,180.344,186.503,182.728,176.168
122.985,123.0,7.949,8.001,8.043,8.088,189.038,189.037,187.011,187.004,189.038,,186.703,193.81,189.039,182.728
123.004,123.049,8.13,8.203,8.384,8.563,196.35,196.349,194.318,194.311,196.349,,194.01,201.181,196.35,189.039
123.141,123.206,8.252,8.42,8.68,9.007,203.708,203.707,201.69,201.683,203.707,,201.382,207.085,203.708,196.351
129.809,129.861,8.525,8.622,9.028,9.038,209.663,209.662,207.593,207.587,209.663,,207.285,212.874,209.663,203.709
129.961,129.983,8.728,8.826,9.047,9.054,215.46,215.459,213.382,213.375,215.459,,213.074,219.269,215.46,209.664
130.061,130.113,8.909,9.022,9.061,9.067,221.778,221.777,219.777,219.77,221.777,,219.469,225.482,221.778,215.46
130.189,130.238,9.034,9.043,9.074,9.08,228.009,228.008,225.99,225.983,228.008,,225.682,232.92,228.009,221.778
130.313,130.369,9.05,9.057,9.087,9.094,235.504,235.503,233.428,233.421,235.503,,233.12,238.932,235.504,228.009
130.447,130.459,9.064,9.07,9.101,9.108,241.459,241.458,239.44,239.433,241.458,,239.132,245.315,241.459,235.504
130.465,130.51,9.077,9.083,9.116,9.126,247.856,247.855,245.823,245.816,247.855,,245.515,251.806,247.856,241.46
130.597,130.669,9.091,9.098,9.169,9.179,254.376,254.375,252.314,252.307,254.376,,252.006,257.537,254.377,247.857
148.176,148.23,9.104,9.112,9.187,9.195,260.086,260.085,258.045,258.038,260.085,,257.737,263.706,260.086,254.377
148.523,148.576,9.121,9.133,9.203,9.21,266.214,266.213,264.214,264.207,266.213,,263.906,269.893,266.214,260.087
148.759,148.802,9.162,9.174,9.218,9.226,272.484,272.483,270.4,270.394,272.484,,270.093,276.396,272.484,266.214
148.888,148.923,9.183,9.191,9.233,9.242,278.933,278.932,276.904,276.897,278.932,,276.596,282.988,278.933,272.485
149.01,149.059,9.199,9.207,9.25,9.259,285.581,285.58,283.495,283.489,285.581,,283.188,288.994,285.581,278.934
149.156,149.193,9.214,9.222,9.269,9.279,291.567,291.566,296.446,289.496,291.567,,289.194,295.938,291.567,285.582
149.294,149.33,9.229,9.237,9.29,9.303,298.522,298.521,303.002,296.439,298.522,,296.138,302.494,298.522,291.568
149.439,149.478,9.246,9.254,9.317,9.332,305.052,305.051,310.127,302.995,305.051,,302.694,309.619,305.052,298.523
149.595,149.638,9.263,9.273,9.348,9.362,312.21,312.209,316.736,310.12,312.209,,309.819,316.228,312.21,305.052
149.726,149.808,9.284,9.296,9.375,9.385,318.746,318.745,323.92,316.729,318.745,,316.428,323.412,318.746,312.21
149.89,149.988,9.31,9.324,9.395,9.404,325.92,325.919,330.663,323.913,325.92,,323.612,330.155,325.921,318.746
150.16,150.191,9.34,9.354,9.411,9.418,332.741,332.741,336.453,330.656,332.741,,330.355,335.945,332.742,325.921
150.304,150.382,9.369,9.38,9.424,9.43,338.451,338.45,343.875,336.446,338.451,,336.145,343.367,338.451,332.742
150.707,150.767,9.39,9.399,9.435,9.44,345.925,345.925,350.27,343.869,345.925,,343.567,349.762,345.926,338.452
150.946,150.994,9.407,9.414,9.445,9.45,352.318,352.317,357.469,350.262,352.317,,349.962,356.961,352.318,345.926
151.488,151.5,9.421,9.427,9.454,9.458,359.541,359.54,364.457,357.462,359.54,,357.161,363.949,359.541,352.319
151.676,151.712,9.432,9.438,9.462,9.466,366.489,366.488,371.388,364.45,366.489,,364.149,370.88,366.49,359.541
151.803,151.893,9.442,9.447,9.47,9.474,373.406,373.405,378.478,385.97,373.406,,371.08,377.97,373.407,366.49
175.118,174.469,9.452,9.456,9.478,9.481,380.564,380.563,385.976,393.394,380.564,,378.17,385.469,380.565,373.407
175.249,174.8,9.46,9.464,9.485,9.488,387.981,387.98,393.401,399.539,387.981,,385.669,392.893,387.981,380.565
175.383,175.036,9.468,9.472,9.491,9.495,395.409,395.408,399.546,406.952,395.408,,393.093,399.038,395.409,387.982
175.524,175.149,9.476,9.479,9.498,9.501,401.631,401.63,406.959,413.863,401.63,,399.239,406.451,401.631,395.41
175.684,175.279,9.483,9.486,9.504,9.507,408.977,408.976,413.87,420.104,408.976,,406.651,413.362,408.977,401.631
175.856,175.416,9.49,9.493,9.51,9.513,415.877,415.877,420.111,427.061,415.877,,413.562,419.603,415.878,408.977
176.019,175.558,9.496,9.499,9.516,9.519,422.204,422.204,427.068,434.589,422.204,,419.803,426.561,422.205,415.878
176.159,175.713,9.502,9.505,9.522,9.524,429.147,429.146,434.596,440.921,429.146,,434.288,434.088,429.147,422.205
176.315,175.905,9.509,9.512,9.528,9.53,436.592,436.591,440.928,448.322,436.591,,440.62,440.42,436.592,429.148
176.555,176.084,9.514,9.518,9.533,9.536,442.989,442.989,448.329,455.281,442.989,,448.022,447.822,442.99,436.592
176.813,176.431,9.52,9.523,9.538,9.541,450.354,450.353,455.288,461.676,450.354,,454.98,454.78,450.354,442.99
176.987,176.618,9.526,9.529,9.544,9.546,457.291,457.29,461.683,468.272,457.29,,461.375,461.175,457.291,450.355
177.289,176.841,9.531,9.534,9.549,9.552,463.77,463.769,468.279,474.694,463.77,,467.971,467.771,463.771,457.291
177.865,177.046,9.537,9.54,9.555,9.557,470.359,470.358,474.701,481.038,470.359,,474.392,474.192,470.359,463.771
177.985,177.325,9.542,9.545,9.56,9.563,476.762,476.761,481.045,486.803,476.761,,480.736,480.536,476.763,470.36
178.185,177.89,9.548,9.55,9.566,9.568,483.129,483.128,486.81,493.441,483.129,,486.502,486.302,483.13,476.763
178.312,178.054,9.553,9.556,9.572,9.574,488.873,488.872,493.448,500.878,488.872,,493.14,492.94,488.873,483.13
178.472,178.226,9.559,9.561,9.577,9.58,495.538,495.538,500.885,507.697,495.538,,500.577,500.377,495.539,488.873
178.624,178.389,9.564,9.567,9.583,9.586,502.908,502.908,507.704,514.94,502.908,,507.396,507.196,502.909,495.539
178.802,178.548,9.57,9.573,9.589,9.592,509.784,509.783,514.947,522.414,509.784,,514.639,514.439,509.785,502.909
178.954,178.711,9.575,9.578,9.595,9.598,516.981,516.98,522.422,529.616,516.981,,522.114,521.913,516.982,509.785
179.129,178.878,9.582,9.584,9.601,9.604,524.447,524.446,529.623,535.356,524.447,,529.315,529.115,524.447,516.982
179.322,179.033,9.587,9.59,9.607,9.611,531.683,531.682,535.363,541.992,531.682,,535.055,534.855,531.683,524.448
