Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: Omer1-22.12.24 Finished,Trial name: Omer1-22.12.24 started
18.853,18.916,0.009,0.082,0.0,0.02,7.413,7.412,5.417,5.411,7.413,1309.38,5.108,4.908,7.414,0.0
19.144,19.189,0.105,0.129,0.067,0.094,14.445,14.444,12.45,12.443,14.444,,12.141,11.941,14.445,7.415
19.191,19.336,0.208,0.32,0.116,0.15,20.16,20.159,18.165,18.158,20.16,,17.857,17.657,20.161,14.445
19.339,19.343,0.351,0.382,0.185,0.231,25.999,25.998,24.004,23.997,25.999,,23.695,30.978,25.999,20.161
19.767,19.771,0.418,0.587,0.302,0.336,33.48,33.48,31.486,31.479,33.48,,31.178,36.942,33.481,26.0
20.029,20.073,0.718,0.796,0.366,0.4,39.445,39.444,37.45,37.443,39.445,,37.142,43.381,39.446,33.481
20.171,20.218,0.929,1.168,0.447,0.637,45.883,45.882,43.889,43.882,45.883,,43.581,50.221,45.884,39.446
20.309,20.342,1.208,1.447,1.491,1.533,52.723,52.722,50.729,50.722,52.723,,50.421,55.97,52.724,45.884
20.443,20.498,1.517,1.547,1.56,1.583,58.473,58.472,56.478,56.471,58.472,,56.17,62.31,58.473,52.724
20.582,20.64,1.572,1.593,1.605,1.634,64.813,64.812,62.818,62.811,64.813,,62.51,68.263,64.814,58.473
20.724,20.781,1.618,1.656,1.726,1.755,70.766,70.765,68.771,68.764,70.766,,68.463,75.204,70.767,64.814
20.873,20.926,1.706,1.741,1.778,1.801,77.707,77.706,75.712,75.705,77.706,,75.404,82.228,77.707,70.767
21.022,21.081,1.766,1.789,1.825,1.852,84.731,84.73,82.736,82.729,84.73,,82.428,88.043,84.731,77.707
21.26,21.323,1.812,1.837,1.894,1.952,90.546,90.545,88.551,88.544,90.545,,88.243,95.021,90.546,84.732
21.943,22.006,1.868,1.988,2.017,2.107,97.524,97.523,95.529,95.522,97.524,,95.221,100.575,97.524,90.546
22.037,22.527,2.14,2.668,2.177,2.304,103.077,103.077,101.083,101.076,103.077,,100.775,107.924,103.078,97.525
22.587,22.607,2.721,2.759,2.453,2.622,110.427,110.426,108.432,108.425,110.427,,108.124,115.161,110.427,103.078
23.283,23.348,2.793,2.824,2.699,2.74,117.664,117.664,121.254,115.663,117.664,,115.361,120.745,117.665,110.428
23.518,23.583,2.855,2.92,2.774,2.81,123.248,123.247,128.383,121.246,123.248,,120.945,127.875,123.249,117.665
24.047,24.064,2.946,2.967,2.839,2.884,130.378,130.377,135.13,128.376,130.377,,128.075,134.622,130.379,123.249
24.759,24.916,2.985,3.004,2.898,2.933,137.125,137.124,141.256,135.123,137.124,,134.822,140.748,137.125,130.379
24.919,24.962,3.028,3.13,2.957,2.976,143.251,143.25,147.455,141.249,143.25,,140.948,146.947,143.251,137.125
24.968,29.181,3.253,3.587,2.995,3.015,149.45,149.449,154.559,147.448,149.45,,147.147,154.051,149.45,143.252
28.878,29.27,3.637,3.808,3.045,3.103,164.039,156.554,162.044,154.552,156.555,,154.25,161.536,156.556,149.451
29.191,29.33,4.052,4.11,3.167,3.219,170.515,164.038,168.52,162.037,164.038,,161.736,168.012,164.039,156.556
29.273,29.493,4.153,4.176,3.286,3.435,177.111,170.514,175.116,168.513,170.514,,168.212,174.607,170.515,164.039
29.701,29.585,4.197,4.215,3.537,4.083,183.433,177.11,181.438,175.109,177.11,,174.807,180.929,177.111,170.516
29.877,29.745,4.231,4.253,4.132,4.166,189.965,183.432,187.971,181.431,183.433,,181.129,187.462,183.434,177.111
29.891,29.884,4.317,4.337,4.187,4.206,196.098,189.964,194.103,187.964,189.965,,187.662,193.595,189.966,183.434
31.069,29.92,4.352,4.365,4.223,4.241,203.546,196.097,201.551,194.096,196.098,,193.795,201.043,196.099,189.966
31.122,31.12,4.377,4.39,4.272,4.302,210.619,203.545,208.624,201.544,203.545,,201.243,208.116,203.546,196.099
31.316,31.241,4.403,4.42,4.329,4.345,216.632,210.618,214.637,208.617,210.618,,208.316,214.129,210.619,203.546
31.53,31.354,4.492,4.517,4.359,4.372,223.129,216.631,221.134,214.63,216.631,,214.329,220.626,216.632,210.62
31.76,31.745,4.552,4.608,4.384,4.397,228.994,228.993,227.0,221.127,223.128,,220.826,226.492,223.13,216.633
32.588,32.585,4.645,4.683,4.411,4.431,235.354,235.353,233.359,226.993,228.994,,226.692,232.851,228.995,223.13
32.783,32.775,4.788,4.922,4.478,4.505,242.717,242.716,240.722,233.352,235.353,,233.051,240.213,235.354,228.995
32.833,32.823,6.413,6.456,4.532,4.63,249.594,249.593,247.6,240.715,242.716,,240.414,247.091,242.717,235.355
32.851,32.847,6.476,6.491,4.662,5.608,256.193,256.192,254.199,247.592,249.594,,247.291,253.691,249.594,242.717
32.989,32.949,6.505,6.521,5.733,5.865,263.173,263.172,261.178,254.192,256.193,,253.891,260.67,256.193,249.595
33.133,33.098,6.542,6.577,6.037,6.116,270.275,270.274,268.281,261.171,263.172,,260.87,267.773,263.173,256.194
33.283,33.207,6.679,6.712,6.297,6.439,276.258,276.257,274.263,268.274,270.275,,267.973,273.755,270.276,263.174
33.44,33.356,6.734,6.754,6.467,6.483,282.937,282.936,280.943,274.256,276.257,,273.955,280.434,276.258,270.276
33.531,33.534,6.775,6.8,6.497,6.513,288.908,288.907,286.914,280.935,282.936,,280.634,286.405,282.937,276.258
33.605,33.687,6.898,7.038,6.53,6.555,295.019,295.018,293.024,286.907,288.908,,286.605,292.516,288.909,282.938
33.771,33.841,7.074,7.112,6.698,6.724,301.65,301.648,299.655,293.017,295.018,,292.716,299.146,295.019,288.909
34.184,34.257,7.221,7.364,6.745,6.765,308.87,308.87,306.876,299.648,301.649,,299.346,306.368,301.65,295.02
34.314,34.385,8.522,8.541,6.788,6.82,315.079,315.079,313.085,306.869,308.87,,306.568,312.576,308.871,301.65
34.403,34.423,8.555,8.566,6.874,6.933,321.111,321.11,319.117,313.078,315.079,,312.776,318.609,315.08,308.871
34.464,34.909,8.578,8.589,7.008,7.058,327.983,327.982,325.988,319.11,321.111,,318.809,325.48,321.112,315.08
34.944,34.99,8.603,8.619,7.091,8.533,334.501,334.5,332.507,325.981,327.982,,325.68,331.998,327.983,321.112
38.005,38.073,8.682,8.7,8.499,8.561,341.192,341.191,339.197,332.5,334.501,,332.199,338.689,334.502,327.983
38.079,38.083,8.716,8.732,8.549,8.583,347.907,347.906,345.912,339.19,341.191,,338.889,345.403,341.192,334.502
38.152,38.224,8.747,8.766,8.572,8.61,353.869,353.868,351.874,345.906,347.907,,345.603,351.366,347.908,341.192
38.263,38.347,8.806,8.846,8.595,8.67,359.905,359.904,357.911,351.867,353.868,,351.566,357.402,353.869,347.908
38.374,38.472,8.974,9.057,8.633,8.708,366.906,366.905,364.911,357.903,359.905,,357.602,364.402,359.905,353.869
38.512,38.579,9.166,9.206,8.692,8.74,373.001,372.999,371.006,364.904,366.905,,364.602,370.497,366.906,359.906
38.591,38.596,10.189,10.278,8.724,8.779,379.701,379.7,377.707,370.999,373.0,,370.697,377.198,373.001,366.907
38.599,38.615,10.498,10.559,8.756,9.495,386.175,386.174,384.179,377.7,379.701,,377.398,383.67,379.702,373.001
38.665,38.735,10.591,10.605,9.009,10.598,391.753,391.752,389.758,384.173,386.175,,383.87,389.25,386.176,379.702
38.751,38.754,10.617,10.628,10.579,10.623,399.192,399.191,397.197,389.751,391.752,,389.45,396.689,391.753,386.176
38.799,38.876,10.638,10.649,10.611,10.644,405.892,405.891,403.897,397.19,399.192,,396.889,403.389,399.193,391.753
38.949,39.023,10.661,10.677,10.633,10.668,412.256,412.255,410.262,403.89,405.892,,403.589,409.754,405.892,399.193
39.113,39.192,10.733,10.749,10.654,10.72,419.001,419.0,417.006,410.255,412.256,,409.954,416.498,412.257,405.893
39.27,39.348,10.764,10.779,10.691,10.757,425.389,425.388,423.394,416.999,419.0,,416.698,422.886,419.001,412.257
39.426,39.682,10.798,10.831,10.742,10.788,432.646,432.645,430.652,423.387,425.389,,423.086,430.144,425.39,419.001
39.601,39.869,10.929,11.091,10.772,10.883,438.72,438.719,436.726,430.645,432.646,,430.344,436.218,432.647,425.39
39.783,42.808,11.35,11.429,10.811,11.115,446.215,446.214,444.22,436.719,438.72,,436.418,443.712,438.721,432.647
42.727,42.926,11.535,11.692,11.07,11.274,453.343,453.342,451.348,444.213,446.214,,443.912,450.84,446.215,438.721
42.86,43.177,11.816,11.952,11.238,11.983,460.128,460.127,458.133,451.342,453.343,,451.041,457.625,453.344,446.215
42.937,44.372,11.974,11.99,11.967,12.009,466.27,466.269,464.276,458.126,460.127,,457.825,463.767,460.128,453.344
44.309,44.505,12.002,12.015,11.996,12.039,472.107,472.106,470.112,464.269,466.27,,463.967,469.604,466.271,460.129
44.451,44.639,12.031,12.048,12.024,12.081,477.678,477.678,475.684,470.105,472.106,,469.804,475.175,472.107,466.271
44.571,44.756,12.067,12.161,12.057,12.177,483.233,483.232,481.238,475.677,477.678,,475.375,480.728,477.679,472.107
44.694,44.909,12.346,12.382,12.144,12.324,489.357,489.356,487.362,481.231,483.232,,480.928,486.854,483.233,477.679
44.843,45.044,12.408,12.434,12.259,12.397,495.611,495.61,493.616,487.355,489.357,,487.054,493.108,489.358,483.233
