Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: first_v7 Finished,Trial name: first_v7 started
12.601,12.621,0.0,0.012,0.015,0.023,7.126,7.125,5.067,5.065,7.125,1324.634,4.757,4.557,7.127,0.0
39.416,39.459,0.02,0.026,0.03,0.036,13.03,13.029,11.007,11.0,13.029,,16.583,10.499,13.03,7.128
39.5,39.673,0.033,0.038,0.041,0.047,18.968,18.967,16.891,16.884,18.967,,22.378,16.383,18.968,13.03
39.614,39.896,0.044,0.05,0.053,0.059,24.695,24.694,22.686,22.679,24.695,,29.8,22.178,24.695,18.968
39.889,39.971,0.056,0.062,0.064,0.07,32.156,32.155,30.108,37.474,32.155,,37.173,29.6,32.156,24.696
39.904,40.156,0.067,0.073,0.076,0.08,39.541,39.54,37.481,44.658,39.54,,44.357,36.973,39.541,32.157
40.073,40.366,0.078,0.083,0.086,0.09,46.671,46.67,44.665,50.319,46.671,,50.018,44.157,46.672,39.541
40.305,40.574,0.088,0.092,0.094,0.097,52.362,52.361,50.326,56.883,52.361,,56.582,49.818,52.362,46.672
40.553,40.587,0.096,0.099,0.101,0.104,58.925,58.924,56.89,63.49,58.924,,70.011,56.382,58.925,52.362
40.582,41.143,0.102,0.106,0.108,0.111,65.519,65.518,63.497,70.312,65.518,,76.918,62.989,65.519,58.925
40.741,41.236,0.109,0.112,0.114,0.117,72.353,72.352,70.319,77.219,72.352,,90.361,69.811,72.353,65.519
41.199,41.341,0.116,0.119,0.121,0.125,79.244,79.243,77.226,84.102,79.243,,97.022,76.718,79.244,72.353
41.269,41.89,0.122,0.126,0.128,0.132,86.136,86.135,84.109,90.662,86.136,,104.335,83.601,86.137,79.244
41.883,41.915,0.13,0.134,0.136,0.141,92.669,92.668,90.669,97.323,92.669,,111.412,90.161,92.669,86.137
41.901,42.1,0.139,0.144,0.146,0.152,99.381,99.38,97.33,104.636,99.38,,117.232,96.822,99.381,92.67
42.1,42.219,0.149,0.156,0.16,0.167,106.677,106.676,104.643,111.713,106.676,,122.889,104.135,106.677,99.381
42.101,42.533,0.163,0.172,0.178,0.196,113.718,113.717,111.72,117.533,113.717,,130.011,111.212,113.718,106.677
42.482,43.094,0.186,0.233,0.222,0.241,119.554,119.553,117.54,123.189,119.554,,136.163,117.032,119.555,113.718
43.04,43.727,0.249,0.263,0.256,0.27,125.195,125.194,123.196,130.313,125.194,,142.869,122.688,125.195,119.555
43.483,43.738,0.278,0.375,0.29,0.311,132.412,132.412,130.319,136.464,132.412,,148.607,129.811,132.413,125.196
43.737,44.144,0.4,0.42,0.359,0.389,138.47,138.47,136.471,143.17,138.47,,154.479,135.963,138.471,132.413
44.006,44.521,0.437,0.452,0.412,0.429,145.172,145.171,143.177,148.908,145.171,,161.147,142.669,145.173,138.471
44.376,44.891,0.465,0.477,0.445,0.459,150.928,150.927,148.916,154.78,150.927,,168.558,148.407,150.928,145.173
44.839,45.025,0.49,0.502,0.472,0.484,156.838,156.837,161.455,161.448,156.837,,175.768,154.279,156.838,150.928
44.909,90.568,0.517,0.534,0.496,0.509,163.494,163.493,168.865,168.858,163.494,,182.013,160.947,163.494,156.838
90.425,91.591,0.556,1.021,0.525,0.545,170.905,170.904,176.076,176.069,170.904,,187.662,168.358,170.905,163.495
91.529,91.893,1.039,1.051,0.573,0.695,178.125,178.124,182.321,182.314,178.124,,194.655,175.568,178.125,170.905
91.848,92.127,1.063,1.073,0.863,1.005,184.327,184.327,187.97,187.963,184.327,,201.893,181.813,184.328,178.125
92.086,92.234,1.082,1.091,1.031,1.045,190.012,190.011,194.963,194.956,190.012,,208.701,187.462,190.013,184.328
92.218,92.364,1.101,1.111,1.057,1.068,197.036,197.035,202.2,202.193,204.232,,215.183,194.455,197.037,190.013
92.324,92.605,1.124,1.141,1.077,1.087,204.233,204.232,209.009,209.002,211.034,,222.584,201.693,204.233,197.037
92.555,92.73,1.185,1.207,1.095,1.106,211.035,211.034,215.491,215.484,217.586,,229.766,208.501,211.035,204.234
92.685,92.856,1.222,1.239,1.117,1.131,217.586,217.585,222.892,222.885,224.963,,235.546,214.983,217.586,211.035
92.805,93.119,1.26,1.296,1.197,1.215,224.964,224.963,230.074,230.068,232.159,,241.241,222.384,224.964,217.587
93.069,93.253,1.367,1.382,1.23,1.249,232.16,232.159,235.854,235.847,237.923,,246.784,229.566,232.16,224.964
93.198,93.404,1.397,1.492,1.275,1.319,237.923,237.922,241.549,241.542,243.576,,253.657,235.346,237.924,232.16
93.337,93.541,1.511,1.526,1.358,1.375,243.576,243.575,247.092,247.085,249.165,,260.73,241.041,243.577,237.924
93.484,93.71,1.54,1.553,1.388,1.407,249.165,249.164,253.965,253.958,255.967,,266.64,246.584,249.166,243.577
93.64,93.85,1.565,1.577,1.479,1.502,255.967,255.966,261.037,261.03,263.07,,274.092,253.457,255.967,249.166
93.788,94.015,1.59,1.603,1.519,1.533,263.071,263.07,266.948,266.941,269.022,,281.25,260.53,263.071,255.968
