Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: Omer1-22.12.24 Finished,Trial name: Omer1-22.12.24 started
538.763,539.187,0.145,0.32,0.0,0.736,5.887,5.886,3.886,3.885,5.887,1313.967,3.534,3.334,5.888,0.0
539.543,539.576,0.716,0.751,0.764,0.786,11.928,11.927,9.934,9.926,11.927,,9.624,9.424,11.928,5.889
539.674,539.702,0.775,0.795,0.804,0.835,18.318,18.317,16.324,16.316,18.317,,23.218,15.815,18.318,11.928
539.79,539.841,0.816,0.876,0.861,0.889,25.521,25.52,23.527,23.519,25.52,,28.947,23.018,25.521,18.319
539.934,539.968,0.898,0.915,0.907,0.924,31.25,31.249,29.256,29.248,31.25,,34.791,28.747,31.251,25.522
540.064,540.098,0.931,0.948,0.94,0.959,37.093,37.092,35.099,35.091,37.093,,41.766,34.591,37.093,31.251
540.195,540.234,0.973,1.025,1.045,1.146,44.068,44.067,42.074,42.066,44.067,,48.223,41.565,44.068,37.094
540.326,540.374,1.072,1.105,1.406,1.428,50.526,50.525,48.532,48.525,50.526,,54.64,48.023,50.527,44.069
540.459,540.51,1.304,1.756,1.772,1.796,56.942,56.941,54.949,54.94,56.942,,61.524,54.44,56.942,50.527
540.603,540.65,1.785,1.805,1.814,1.835,63.827,63.826,61.833,61.825,63.827,,68.072,61.324,63.827,56.943
540.667,540.686,1.824,1.845,1.856,1.942,70.375,70.374,68.381,68.373,70.374,,74.914,67.872,70.375,63.828
540.767,540.822,1.872,1.929,1.961,1.977,77.217,77.216,75.223,75.215,77.217,,80.722,74.714,77.217,70.375
540.841,540.848,1.951,1.969,1.993,2.01,83.025,83.024,81.031,81.024,83.025,,88.225,80.522,83.026,77.218
540.935,540.986,1.985,2.001,2.029,2.057,90.527,90.526,88.534,88.526,90.527,,94.525,88.025,90.527,83.026
541.004,541.015,2.019,2.04,2.109,2.159,96.827,96.826,94.834,94.826,96.827,,101.307,94.325,96.827,90.528
541.167,541.172,2.135,2.297,2.247,2.721,103.61,103.609,101.617,101.609,103.609,,108.674,101.108,103.61,96.828
541.705,541.772,2.346,2.734,2.745,2.761,110.976,110.975,108.982,108.974,110.975,,115.566,108.473,110.976,103.611
541.846,541.903,2.753,2.767,2.774,2.787,117.869,117.868,115.875,115.867,117.868,,122.186,115.366,117.869,110.977
541.922,541.938,2.78,2.793,2.801,2.825,124.488,124.488,122.495,122.487,124.488,,136.028,121.985,124.489,117.87
547.466,547.559,2.812,2.844,2.883,2.903,130.931,130.93,128.937,128.929,130.93,,141.614,128.428,130.931,124.489
547.726,547.758,2.868,2.893,2.919,2.934,138.331,138.33,136.337,136.329,138.33,,147.518,135.828,138.331,130.931
547.835,547.89,2.911,2.927,2.952,2.976,143.917,143.916,141.923,141.915,143.916,,153.794,141.414,143.917,138.332
547.962,548.021,2.943,2.962,3.036,3.051,149.82,149.819,147.827,147.818,149.82,,161.201,147.317,149.82,143.918
548.105,548.154,2.997,3.018,3.064,3.077,156.097,156.096,154.103,154.095,156.097,,168.114,153.594,156.097,149.821
548.243,548.28,3.045,3.058,3.092,3.15,163.504,163.503,161.509,161.502,163.503,,174.026,161.001,163.504,156.098
548.363,548.412,3.07,3.084,3.168,3.183,170.417,170.416,168.423,168.415,170.416,,180.055,167.914,170.417,163.504
548.507,548.55,3.105,3.139,3.198,3.216,176.329,176.328,174.335,174.327,176.329,,186.146,173.826,176.329,170.418
548.667,548.703,3.159,3.175,3.242,3.308,182.357,182.356,180.364,180.356,182.357,,192.125,179.855,182.358,176.33
548.816,548.87,3.19,3.206,3.663,3.701,188.448,188.448,186.455,186.447,188.448,,198.916,185.946,188.449,182.358
548.954,549.018,3.227,3.345,3.816,3.886,194.428,194.427,192.434,192.426,194.427,,205.355,191.925,194.428,188.449
549.103,549.172,3.398,3.804,3.89,3.93,201.219,201.218,199.225,199.217,201.218,,212.609,198.716,201.219,194.428
549.259,549.336,3.829,3.911,3.974,4.005,207.657,207.657,212.918,205.656,207.657,,218.67,205.155,207.658,201.219
549.609,549.69,3.947,4.121,4.086,4.458,214.911,214.91,218.979,212.91,214.911,,225.663,212.409,214.912,207.658
549.786,549.863,5.515,5.544,4.56,4.709,220.973,220.972,225.972,218.971,220.972,,231.443,218.47,220.973,214.912
549.958,550.022,5.565,5.586,4.843,4.983,227.966,227.965,231.752,225.964,227.965,,238.202,225.463,227.966,220.973
550.063,550.084,5.651,5.67,5.465,5.532,233.746,233.745,238.511,231.744,233.745,,244.217,231.243,233.746,227.966
550.149,550.207,5.684,5.699,5.555,5.576,240.505,240.504,244.526,238.503,240.505,,250.541,238.002,240.505,233.746
550.534,550.629,5.715,5.735,5.601,5.635,246.52,246.519,250.851,244.518,246.519,,257.948,244.017,246.52,240.506
550.762,550.923,5.811,6.517,5.662,5.677,252.844,252.843,258.257,258.249,252.843,,264.335,250.341,252.844,246.521
551.199,551.383,6.405,6.589,5.691,5.707,260.251,260.25,264.644,264.636,260.25,,270.325,257.748,260.251,252.845
554.793,554.861,6.56,6.642,5.724,5.762,266.638,266.637,270.634,270.626,266.637,,277.053,264.135,266.638,260.252
554.929,554.959,6.618,6.733,5.781,5.847,272.628,272.627,277.362,277.354,272.627,,283.912,270.125,272.628,266.639
555.026,555.087,6.715,6.763,5.923,6.462,279.356,279.355,284.221,284.213,279.356,,290.568,276.853,279.356,272.629
555.152,555.215,6.748,6.807,6.543,6.575,286.214,286.213,290.877,290.869,286.214,,297.686,283.712,286.214,279.357
555.292,555.365,6.78,6.907,6.604,6.63,292.87,292.869,297.995,297.987,292.87,,304.901,290.368,292.871,286.215
555.445,555.513,6.859,7.719,6.654,6.704,299.988,299.987,305.21,305.202,299.988,,311.303,297.486,299.989,292.871
555.59,555.661,7.007,7.758,6.724,6.74,307.204,307.203,311.612,311.604,307.203,,318.473,304.701,307.204,299.989
555.727,555.799,7.742,7.784,6.755,6.771,313.606,313.605,318.782,318.774,313.605,,324.488,311.103,313.606,307.204
555.874,555.947,7.771,7.808,6.792,6.881,320.776,320.775,324.797,324.789,320.776,,330.507,318.273,320.777,313.606
556.054,556.166,7.795,7.866,7.732,7.75,326.79,326.79,330.816,330.808,326.79,,337.018,324.288,326.791,320.777
557.98,558.043,7.826,7.897,7.765,7.778,332.81,332.809,337.327,344.402,332.809,,344.101,330.307,332.81,326.791
558.109,558.166,7.882,7.922,7.789,7.801,339.321,339.32,344.41,351.294,339.32,,350.993,336.818,339.321,332.81
558.237,558.301,7.91,7.948,7.815,7.875,346.403,346.402,351.302,358.497,346.403,,358.196,343.901,346.404,339.321
558.378,558.449,7.934,8.038,7.89,7.903,353.295,353.295,358.505,365.887,353.295,,365.586,350.793,353.296,346.404
558.53,558.6,7.967,8.81,7.916,7.928,360.498,360.497,365.895,372.457,360.498,,378.72,357.996,360.499,353.296
558.682,558.757,8.415,8.851,7.941,7.957,367.888,367.888,372.465,379.021,367.888,,385.414,365.386,367.889,360.499
