Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: Omer1-22.12.24 Finished,Trial name: Omer1-22.12.24 started
62.567,62.636,3.529,3.594,0.0,0.191,6.282,6.281,4.282,4.28,6.281,1305.469,3.973,3.773,6.283,0.0
62.72,62.738,3.783,3.874,0.308,0.468,12.497,12.496,10.502,10.495,12.496,,10.194,9.994,12.497,6.284
63.066,63.067,4.029,4.112,0.601,0.778,18.315,18.314,16.32,16.314,18.315,,16.013,15.812,18.315,12.498
63.067,63.068,4.301,5.636,0.913,1.133,24.207,24.206,22.212,22.206,24.207,,21.904,21.704,24.207,18.316
63.069,63.069,5.685,5.966,1.285,1.455,30.47,37.377,28.476,28.469,30.47,,28.168,27.967,30.471,24.208
63.07,63.071,6.061,6.279,1.632,1.792,37.378,43.542,35.383,35.376,37.377,,35.075,34.875,37.378,30.471
63.168,63.169,6.405,6.603,2.013,2.11,43.543,50.141,41.548,41.541,43.542,,41.24,41.04,43.543,37.378
63.182,63.247,6.757,6.885,2.307,2.394,50.142,56.929,48.146,48.14,50.141,,47.839,47.639,50.142,43.544
63.304,63.368,10.356,10.426,2.642,2.702,56.93,64.298,54.935,54.928,56.93,,54.627,54.427,56.93,50.142
63.428,63.489,10.536,10.6,3.684,3.715,64.299,71.305,62.304,62.298,64.299,,61.996,61.796,64.299,56.931
63.549,63.599,10.696,10.9,3.936,3.973,71.306,78.428,69.311,69.304,71.306,,69.003,68.803,71.306,64.3
63.668,63.72,11.057,11.203,4.56,10.39,78.428,84.986,76.434,76.427,78.428,,76.126,75.926,78.429,71.307
63.798,63.854,16.243,16.313,10.028,12.341,84.987,91.83,82.992,82.985,84.986,,82.684,82.484,84.987,78.429
63.946,64.006,16.388,16.43,10.566,12.742,91.831,97.784,89.836,89.829,91.83,,89.528,89.328,91.831,84.987
64.131,64.185,16.581,16.686,12.397,12.952,97.785,103.694,95.791,95.784,97.785,,95.482,95.282,97.786,91.832
64.277,64.293,16.907,17.043,12.592,13.19,103.695,109.32,101.7,101.693,103.694,,101.392,101.192,103.695,97.786
64.298,64.542,17.122,17.321,12.847,13.411,109.321,116.357,107.326,107.319,109.321,,107.018,106.818,109.322,103.695
64.465,64.717,17.386,22.182,13.01,13.634,116.358,122.584,114.363,114.356,116.357,,114.055,113.855,116.358,109.322
64.662,64.879,22.117,22.312,13.325,14.004,122.585,128.576,120.59,120.583,122.584,,120.282,120.082,122.585,116.358
64.864,64.881,22.237,22.938,13.475,14.322,128.577,134.537,126.583,126.576,128.577,,126.274,126.074,128.578,122.586
64.88,76.463,22.343,23.301,13.906,16.346,134.537,140.312,132.543,132.536,134.537,,132.235,132.035,134.538,128.578
76.442,76.545,23.026,23.54,14.185,20.408,140.313,146.245,138.319,138.312,140.313,,143.943,137.811,140.314,134.538
76.474,76.783,23.442,23.949,16.202,20.812,146.246,153.315,144.251,144.244,146.245,,151.013,143.743,146.246,140.314
76.717,82.989,23.83,24.617,20.338,21.19,153.316,160.368,151.321,151.314,153.315,,158.066,150.813,153.316,146.246
82.977,83.496,24.107,28.374,20.7,21.545,160.369,166.891,158.374,158.367,160.368,,164.59,157.866,160.369,153.316
83.466,89.268,24.544,28.52,21.076,21.907,166.892,174.161,164.898,164.891,166.892,,171.859,164.39,166.893,160.37
89.263,185.25,28.327,29.308,21.411,22.212,174.162,181.45,172.168,172.161,174.162,,179.148,171.66,174.163,166.893
185.215,185.677,28.451,29.364,21.748,26.678,181.451,188.167,179.456,179.449,181.45,,185.865,178.948,181.451,174.163
186.425,186.397,29.268,29.42,22.092,27.038,188.168,194.995,186.173,186.166,188.167,,192.693,185.665,188.168,181.452
186.565,186.535,29.336,29.48,22.264,27.382,194.996,200.673,193.001,192.994,194.995,,198.371,198.172,194.996,188.168
186.692,186.676,29.392,29.543,26.365,27.748,200.674,207.709,198.679,198.672,200.674,,205.408,205.208,200.674,194.997
186.867,186.797,29.45,29.565,26.746,28.04,207.71,215.09,205.716,205.709,207.71,,212.788,212.588,207.711,200.675
186.973,186.936,29.527,29.587,27.146,28.348,215.091,221.676,213.096,213.089,215.09,,219.375,219.175,215.091,207.711
186.992,186.976,29.555,29.653,27.501,28.779,221.677,228.726,219.683,219.676,221.677,,226.424,226.224,221.678,215.092
187.122,187.062,29.575,29.676,27.921,29.291,228.727,235.849,226.732,226.725,228.726,,233.547,233.347,228.727,221.678
187.261,187.202,29.601,29.693,28.25,29.35,235.85,243.134,233.855,233.848,235.849,,240.832,240.632,235.85,228.727
187.424,187.325,29.667,29.707,28.485,29.405,243.135,248.758,241.14,241.133,243.134,,246.456,246.256,243.135,235.851
187.56,187.474,29.685,29.721,28.825,29.465,248.759,262.042,246.765,246.757,248.759,,253.386,253.186,248.759,243.136
187.701,187.613,29.7,29.736,29.322,29.55,255.689,268.013,253.694,253.688,255.689,,259.741,259.541,255.69,248.76
187.854,187.761,29.714,29.754,29.378,29.57,262.043,274.132,260.049,260.042,262.043,,265.711,265.511,262.044,255.69
188.003,187.908,29.729,29.782,29.434,29.594,268.014,281.417,266.019,266.012,268.014,,271.83,271.63,268.014,262.044
188.163,188.064,29.744,29.882,29.537,29.643,274.133,288.306,272.138,272.131,274.133,,279.115,278.915,274.133,268.015
188.341,188.391,29.766,29.937,29.561,29.672,281.418,294.293,279.424,279.417,281.418,,286.004,285.804,281.419,274.134
188.49,188.563,29.837,29.969,29.581,29.689,288.307,299.903,286.312,286.305,288.306,,291.991,291.791,288.307,281.419
188.814,188.877,29.916,30.015,29.613,29.704,294.294,307.291,292.299,292.292,294.293,,297.601,297.401,294.294,288.307
188.991,189.046,29.954,30.062,29.661,29.718,299.904,314.436,297.909,297.902,299.903,,304.989,304.789,299.904,294.294
189.157,189.215,29.991,30.105,29.681,29.732,307.292,320.866,305.297,305.29,307.291,,312.134,311.934,307.292,299.905
189.32,189.372,30.033,30.155,29.697,29.749,314.437,328.283,312.442,312.435,314.437,,318.565,318.365,314.438,307.292
189.488,189.541,30.086,30.184,29.711,29.773,320.867,334.09,318.873,318.866,320.867,,325.982,325.782,320.868,314.438
189.654,189.692,30.131,30.203,29.725,29.9,328.284,340.956,326.29,326.283,328.284,,331.788,331.588,328.285,320.868
189.81,189.862,30.173,30.221,29.74,29.961,334.091,346.648,332.096,332.089,334.09,,338.654,338.454,334.091,328.285
189.96,190.025,30.194,30.244,29.759,30.005,340.957,352.476,338.962,338.955,340.956,,344.346,344.146,340.957,334.091
