Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: first_v7 Finished,Trial name: first_v7 started
19.126,19.177,0.013,0.032,0.0,0.023,6.754,6.753,4.668,4.666,6.754,1306.434,4.359,4.159,6.755,0.0
19.775,19.808,0.047,0.059,0.039,0.053,14.17,14.17,12.149,12.142,14.17,,11.841,11.641,14.171,6.756
19.917,19.941,0.07,0.079,0.064,0.074,20.89,20.889,18.839,18.832,20.889,,18.531,18.331,20.89,14.171
20.045,20.078,0.088,0.097,0.084,0.093,27.831,27.83,25.774,25.767,27.83,,25.466,25.266,27.831,20.89
20.18,20.225,0.106,0.115,0.101,0.111,33.768,33.767,31.733,31.726,33.768,,31.425,31.225,33.769,27.831
20.324,20.371,0.125,0.135,0.12,0.129,39.377,39.376,37.334,37.327,39.376,,37.026,36.826,39.377,33.769
20.466,20.518,0.144,0.155,0.139,0.15,45.055,45.054,42.995,42.988,45.054,,42.687,42.487,45.055,39.377
20.628,20.661,0.165,0.176,0.16,0.171,51.557,51.556,49.554,49.547,51.557,,49.246,49.046,51.558,45.055
20.789,20.833,0.188,0.201,0.182,0.194,58.945,58.944,56.896,56.889,58.944,,56.589,56.389,58.945,51.558
20.95,21.021,0.214,0.228,0.206,0.22,64.937,64.936,62.859,62.852,64.936,,62.551,62.351,64.937,58.946
21.127,21.193,0.248,0.312,0.237,0.262,71.747,71.746,69.697,69.69,71.746,,69.389,69.189,71.747,64.938
21.344,21.407,0.335,0.387,0.3,0.323,78.953,78.953,76.862,76.855,78.953,,76.554,76.354,78.954,71.747
21.544,21.578,0.404,0.424,0.352,0.372,84.694,91.71,82.637,82.63,84.694,,82.329,82.129,84.695,78.954
21.714,21.778,0.477,0.513,0.396,0.413,91.711,98.836,89.698,96.78,91.71,,89.391,89.191,91.711,84.695
21.896,21.979,0.541,0.564,0.496,0.528,98.837,106.157,96.787,104.114,98.836,,96.479,96.279,98.837,91.712
22.085,22.161,0.585,0.645,0.554,0.575,106.158,112.409,104.121,110.338,106.157,,103.813,103.613,106.158,98.838
22.252,22.35,0.659,0.669,0.598,0.635,112.41,119.148,110.345,117.116,112.409,,110.037,109.837,112.41,106.158
40.394,40.504,0.678,0.686,0.652,0.664,119.149,125.194,117.123,123.106,119.148,,116.815,116.615,119.149,112.41
40.79,40.83,0.694,0.7,0.674,0.682,125.195,131.357,129.359,129.352,125.194,,122.805,122.605,125.195,119.149
