Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: first_v7 Finished,Trial name: first_v7 started
30.836,30.892,0.532,0.551,0.0,0.199,6.418,6.417,4.356,4.356,6.417,1312.231,4.047,3.847,6.419,0.0
31.188,31.225,0.567,0.582,0.278,0.486,12.475,12.474,10.446,10.439,12.474,,10.138,9.938,12.475,6.42
31.308,31.351,0.594,0.603,0.521,0.542,19.52,19.519,17.491,17.484,19.519,,17.183,16.983,19.52,12.475
31.429,31.486,0.611,0.617,0.559,0.574,26.729,26.728,24.721,24.714,26.729,,24.413,24.213,26.729,19.521
31.565,31.621,0.624,0.632,0.588,0.599,32.671,32.67,30.583,30.577,32.671,,30.275,30.075,32.671,26.73
31.703,31.757,0.641,0.673,0.607,0.614,38.823,38.822,36.813,36.806,38.822,,36.505,43.488,38.823,32.672
31.836,31.894,0.683,0.69,0.62,0.628,46.012,46.011,43.996,43.99,46.012,,43.688,50.88,46.013,38.824
31.98,32.038,0.695,0.701,0.636,0.648,53.478,53.477,51.388,51.381,53.478,,51.08,58.139,53.479,46.013
32.115,32.174,0.705,0.709,0.666,0.679,60.671,60.67,58.646,58.639,60.67,,58.339,65.602,60.671,53.479
32.26,32.321,0.713,0.717,0.687,0.693,68.107,68.106,66.11,66.103,68.106,,65.802,72.996,68.107,60.671
32.415,32.473,0.721,0.725,0.698,0.703,75.574,75.573,73.505,73.498,75.574,,73.196,79.507,75.575,68.107
32.556,32.624,0.728,0.731,0.707,0.712,82.105,82.104,80.015,80.008,82.105,,79.707,85.459,82.106,75.575
32.717,32.769,0.735,0.739,0.715,0.719,88.026,88.026,85.967,85.96,88.026,,85.659,92.292,88.027,82.106
32.869,32.924,0.742,0.746,0.723,0.726,94.814,94.813,92.8,92.793,94.814,,92.492,99.076,94.815,88.027
33.024,33.089,0.75,0.753,0.73,0.734,101.634,101.633,99.584,99.577,101.633,,99.275,106.049,101.634,94.815
33.17,33.245,0.757,0.761,0.737,0.741,108.615,108.615,106.557,106.55,108.615,,106.249,112.123,108.616,101.634
33.336,33.412,0.765,0.769,0.744,0.748,114.639,114.638,112.631,112.624,114.639,,112.323,119.342,114.64,108.616
33.513,33.543,0.774,0.778,0.752,0.755,121.916,127.57,119.85,119.843,121.916,,119.542,125.064,121.917,114.64
33.87,33.692,0.783,0.788,0.76,0.763,127.571,133.507,125.571,125.565,127.571,,125.264,130.971,127.571,121.917
37.145,33.819,0.793,0.799,0.767,0.772,133.508,140.378,131.479,131.473,133.508,,131.171,137.788,133.509,127.572
37.262,33.89,0.806,0.814,0.776,0.781,140.379,146.002,138.296,138.289,140.379,,137.988,143.465,140.379,133.509
37.516,37.193,0.822,0.83,0.786,0.791,146.002,152.471,143.973,143.966,146.002,,143.665,149.942,146.003,140.38
37.664,37.322,0.84,0.852,0.797,0.803,152.472,158.035,150.449,150.442,152.471,,150.142,155.496,152.472,146.003
37.821,37.592,0.865,0.88,0.81,0.818,158.036,164.526,156.005,155.998,158.035,,155.696,161.964,158.036,152.473
37.962,37.746,0.937,0.947,0.826,0.836,164.527,171.127,162.472,162.465,164.526,,162.165,168.569,164.527,158.037
38.114,37.892,0.956,0.963,0.846,0.858,171.128,178.256,169.077,169.071,171.127,,168.769,175.664,171.128,164.527
38.275,38.038,0.969,0.975,0.873,0.89,178.257,184.8,176.172,176.165,178.256,,175.864,182.286,178.257,171.128
38.427,38.188,0.981,0.987,0.929,0.943,184.801,197.735,182.794,182.787,184.8,,182.486,189.171,184.801,178.257
38.566,38.344,0.992,0.997,0.952,0.96,191.675,203.977,195.689,189.672,191.674,,189.371,195.181,191.675,184.802
38.722,38.498,1.002,1.006,0.967,0.972,197.736,210.022,201.89,195.682,197.735,,195.381,201.382,197.736,191.675
38.899,38.642,1.012,1.016,0.978,0.984,203.978,216.537,207.984,201.883,203.978,,201.582,207.476,203.978,197.737
39.04,38.809,1.021,1.024,0.989,0.995,210.023,223.935,214.472,207.977,210.022,,207.676,221.417,210.023,203.979
39.212,38.967,1.029,1.033,0.999,1.004,216.538,231.373,221.925,214.465,216.537,,214.164,228.847,216.538,210.023
39.431,39.133,1.037,1.042,1.009,1.014,223.936,238.152,229.355,221.919,223.936,,221.617,235.605,223.937,216.538
39.571,39.309,1.046,1.049,1.019,1.022,231.374,243.853,236.112,229.348,231.374,,229.047,241.306,231.375,223.937
43.801,39.491,1.053,1.057,1.027,1.031,238.153,249.704,241.814,236.106,238.152,,235.805,247.158,238.153,231.375
43.839,39.635,1.06,1.064,1.036,1.039,243.854,256.885,247.666,241.807,243.853,,241.506,254.3,243.854,238.154
43.885,39.813,1.068,1.071,1.043,1.047,249.705,264.299,254.808,247.659,249.705,,247.358,261.777,249.706,243.854
43.904,43.799,1.076,1.079,1.051,1.055,256.885,271.014,262.285,254.801,256.885,,254.5,268.484,256.886,249.706
44.219,43.808,1.083,1.087,1.059,1.063,264.3,277.719,268.992,262.278,264.299,,261.977,275.126,264.3,256.886
44.326,43.884,1.091,1.095,1.066,1.07,271.015,284.07,275.634,268.985,271.014,,268.684,281.474,271.015,264.3
44.45,43.886,1.099,1.104,1.074,1.077,277.72,291.263,281.982,275.627,277.719,,275.326,288.74,277.72,271.015
44.596,43.909,1.109,1.114,1.081,1.085,284.071,298.452,289.248,281.975,284.07,,281.674,295.917,284.071,277.72
44.74,44.259,1.119,1.125,1.089,1.093,291.264,304.551,296.425,296.418,291.263,,288.94,301.985,291.264,284.071
44.92,44.38,1.131,1.14,1.097,1.102,298.452,311.668,302.493,302.486,298.452,,296.117,309.104,298.453,291.264
45.076,44.525,1.15,1.172,1.107,1.111,304.552,318.85,309.612,309.605,304.551,,302.185,316.249,304.552,298.453
45.232,44.678,1.187,1.213,1.117,1.122,311.669,325.599,316.757,316.75,311.668,,309.304,323.045,311.669,304.552
45.384,44.843,1.242,1.257,1.128,1.135,318.851,332.084,323.553,323.546,318.85,,316.449,329.569,318.851,311.669
45.543,44.995,1.276,1.299,1.144,1.157,325.6,338.673,330.077,330.07,325.599,,323.245,336.09,325.6,318.851
45.704,45.154,1.33,1.472,1.202,1.25,332.085,345.447,336.598,336.591,332.085,,329.769,342.922,332.085,325.6
45.828,45.302,1.501,1.526,1.264,1.316,338.674,352.329,343.43,343.423,338.673,,336.29,349.745,338.674,332.086
45.98,45.451,1.543,1.556,1.352,1.408,345.448,357.987,350.253,350.246,345.447,,343.122,355.432,345.448,338.674
46.155,45.608,1.569,1.581,1.45,1.488,352.33,364.953,355.94,355.933,352.33,,349.945,362.406,352.331,345.448
51.587,45.75,1.592,1.604,1.515,1.535,357.987,372.136,362.914,362.907,357.987,,355.632,369.626,357.988,352.331
51.694,45.902,1.615,1.627,1.55,1.563,364.954,379.008,370.134,370.127,364.954,,362.606,376.444,364.955,357.988
51.819,46.236,1.638,1.649,1.575,1.586,372.137,386.3,376.952,376.945,372.137,,369.826,383.752,372.138,364.955
51.978,51.635,1.66,1.672,1.598,1.61,379.009,393.042,384.26,384.253,379.009,,376.644,390.464,379.01,372.138
52.129,51.763,1.686,1.704,1.621,1.632,386.301,398.964,390.972,390.965,386.3,,383.952,396.449,386.301,379.01
52.297,51.919,1.782,1.834,1.644,1.655,393.043,406.337,396.957,396.95,393.042,,390.664,403.736,393.043,386.301
52.46,52.069,1.901,1.975,1.667,1.679,398.966,413.148,404.244,404.237,398.965,,396.649,410.609,398.966,393.043
52.597,52.236,2.453,2.498,1.694,1.723,406.337,420.436,411.117,411.11,406.337,,403.936,417.929,406.338,398.966
52.741,52.381,2.625,2.65,1.757,1.807,413.149,426.074,418.437,418.43,413.149,,410.809,423.544,413.15,406.338
52.889,52.527,2.693,2.829,1.936,2.331,420.436,432.547,424.052,424.045,420.436,,418.129,430.025,420.437,413.15
53.075,52.664,2.938,2.982,2.414,2.475,426.075,438.35,430.533,430.526,426.074,,423.744,435.759,426.075,420.437
53.238,52.808,3.012,3.192,2.535,2.575,432.548,445.561,436.267,436.26,432.547,,430.225,443.042,432.548,426.075
53.372,52.97,4.371,4.568,2.608,2.637,438.35,452.234,443.55,443.543,438.35,,435.959,449.712,438.351,432.548
53.731,53.126,5.336,6.213,2.664,2.757,445.562,459.401,450.22,450.213,445.562,,443.242,456.825,445.563,438.351
53.901,53.303,7.543,7.569,3.142,3.324,452.235,465.849,457.333,457.326,452.235,,449.912,463.34,452.235,445.563
54.052,53.448,7.584,7.597,3.844,3.965,459.402,472.176,463.848,463.84,459.402,,457.025,469.578,459.402,452.236
56.067,53.76,7.61,7.622,3.992,4.24,465.85,479.142,470.086,470.079,465.85,,463.539,476.623,465.85,459.403
56.198,53.974,7.634,7.646,4.298,4.345,472.177,485.799,477.131,477.124,472.176,,469.778,483.243,472.177,465.851
56.367,54.125,7.659,7.784,4.395,4.882,479.142,493.21,483.75,483.743,479.142,,476.823,490.613,479.143,472.177
56.818,56.123,7.806,7.948,5.728,7.557,485.8,500.419,491.121,491.114,485.8,,483.443,497.833,485.801,479.143
56.962,56.262,7.958,7.965,7.523,7.59,493.211,506.483,498.341,498.334,493.211,,490.813,503.95,493.211,485.801
57.11,56.442,7.971,7.976,7.577,7.616,500.42,513.121,504.458,504.451,500.419,,498.033,510.553,500.42,493.212
58.943,56.884,7.981,7.986,7.603,7.64,506.484,520.666,511.061,511.054,506.484,,504.15,518.106,506.484,500.421
59.078,57.036,7.99,7.995,7.628,7.667,513.122,527.648,518.613,518.606,513.122,,510.753,525.094,513.123,506.485
59.191,57.192,8.0,8.005,7.651,7.795,520.667,533.357,525.602,525.595,520.666,,518.306,530.819,520.667,513.123
59.322,59.014,8.011,8.018,7.77,7.883,527.649,540.191,531.326,531.319,527.649,,525.294,537.595,527.649,520.668
59.468,59.135,8.026,8.034,7.821,7.962,533.358,546.486,538.103,538.096,533.357,,531.019,543.903,533.358,527.65
59.626,59.257,8.044,8.065,7.954,7.973,540.192,552.442,544.411,544.404,540.191,,537.795,549.854,540.192,533.358
59.77,59.403,8.123,8.142,7.968,7.984,546.487,559.168,550.362,550.355,546.486,,544.103,556.665,546.487,540.193
59.929,59.554,8.158,8.177,7.978,7.993,552.443,564.969,562.932,557.166,552.442,,550.054,562.424,552.443,546.487
60.094,59.7,8.196,8.214,7.988,8.003,559.169,572.344,570.314,562.925,559.169,,556.865,569.806,559.17,552.443
60.253,59.852,8.233,8.286,7.998,8.015,564.969,579.18,577.121,577.114,564.969,,562.624,576.613,564.97,559.17
60.398,60.003,8.306,8.32,8.008,8.03,572.345,585.329,583.259,583.252,572.344,,570.006,582.751,572.345,564.97
60.549,60.154,8.331,8.339,8.022,8.052,579.181,592.643,590.6,590.593,579.18,,576.813,590.092,579.181,572.345
60.7,60.316,8.346,8.352,8.039,8.15,585.33,599.035,597.001,596.994,585.33,,582.951,596.493,585.331,579.182
60.878,60.466,8.358,8.364,8.134,8.187,592.644,605.878,603.812,603.805,592.644,,590.292,603.304,592.645,585.331
61.037,60.623,8.371,8.378,8.168,8.224,599.036,612.537,610.521,610.514,599.036,,596.693,610.013,599.036,592.645
61.206,60.783,8.387,8.395,8.206,8.275,605.879,618.527,616.528,616.521,605.878,,603.504,616.02,605.879,599.037
