Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: first_v7 Finished,Trial name: first_v7 started
358.139,357.783,0.0,0.159,0.054,0.09,5.385,5.384,3.353,3.352,5.385,1320.951,3.043,2.843,5.386,0.0
360.085,358.303,0.29,0.397,0.73,0.758,12.439,12.438,10.382,10.375,12.438,,10.074,9.874,12.439,5.388
360.708,360.442,0.589,0.674,0.915,0.957,18.058,18.057,16.042,16.035,18.057,,15.734,15.534,18.058,12.439
361.17,360.998,0.805,0.867,1.099,1.158,24.257,24.256,22.219,22.212,24.256,,21.911,21.711,24.257,18.058
361.291,361.197,1.002,1.05,1.321,1.365,31.517,31.516,29.435,29.428,31.516,,29.127,28.927,31.517,24.257
361.425,361.336,1.2,1.252,1.539,1.597,38.519,38.518,36.456,36.449,38.518,,36.148,35.948,38.519,31.517
361.568,361.476,1.421,1.48,1.742,1.785,45.606,45.605,43.525,43.518,45.605,,43.217,50.229,45.606,38.519
361.709,361.619,1.651,1.691,2.213,2.247,52.8,52.799,50.737,50.73,52.8,,50.429,56.089,52.801,45.606
361.851,361.752,1.824,1.888,2.275,2.302,58.623,58.622,56.597,56.59,58.623,,56.289,63.266,58.624,52.801
361.993,361.903,2.231,2.263,2.341,2.377,65.818,65.817,63.774,63.768,65.818,,63.467,69.348,65.818,58.624
362.143,362.051,2.289,2.32,2.396,2.408,71.875,71.874,69.856,69.85,71.875,,69.549,76.081,71.875,65.819
362.286,362.195,2.364,2.388,2.42,2.431,78.648,78.647,76.589,76.582,78.648,,76.281,82.41,78.649,71.876
362.435,362.346,2.403,2.414,2.442,2.452,84.926,84.925,82.918,82.911,84.926,,82.61,89.322,84.927,78.649
362.604,362.506,2.426,2.437,2.462,2.471,91.828,91.827,89.829,89.822,91.828,,89.522,96.225,91.828,84.927
