Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: first_v7 Finished,Trial name: first_v7 started
18.648,18.687,0.008,0.019,0.0,0.014,7.317,7.316,5.223,5.222,7.316,1302.844,4.914,4.714,7.317,0.0
19.153,19.187,0.029,0.038,0.024,0.034,13.8,13.799,11.775,11.768,13.8,,11.467,11.267,13.801,7.319
19.39,19.426,0.046,0.053,0.042,0.05,20.457,20.456,18.396,18.39,20.457,,18.088,17.888,20.458,13.801
19.507,19.543,0.061,0.068,0.057,0.064,27.314,27.313,32.239,25.222,27.314,,24.921,24.721,27.315,20.458
19.619,19.659,0.075,0.083,0.072,0.079,34.262,34.261,38.147,32.232,34.262,,31.931,31.731,34.263,27.315
20.143,20.163,0.09,0.1,0.086,0.095,40.152,40.151,44.564,38.139,40.152,,37.839,37.639,40.152,34.263
20.298,20.341,0.113,0.165,0.106,0.122,46.626,46.625,50.964,44.558,46.626,,44.256,44.056,46.626,40.153
20.428,20.607,0.178,0.188,0.155,0.172,52.986,52.985,57.475,50.957,52.985,,50.656,50.456,52.986,46.627
20.577,20.901,0.197,0.205,0.184,0.193,59.547,59.546,64.706,57.468,59.546,,57.167,56.967,59.547,52.986
20.884,23.58,0.213,0.221,0.202,0.21,66.771,66.77,70.969,64.699,66.77,,64.398,64.198,66.771,59.547
23.533,23.707,0.228,0.236,0.217,0.225,72.999,72.998,76.523,70.962,72.999,,70.661,70.461,73.0,66.771
23.669,23.827,0.244,0.253,0.232,0.241,78.543,78.542,83.115,76.516,78.543,,76.216,76.016,78.543,73.0
23.774,23.954,0.264,0.276,0.249,0.258,85.152,85.151,89.562,83.109,85.152,,82.807,82.607,85.153,78.544
23.936,24.113,0.298,0.32,0.269,0.284,91.577,91.576,96.211,89.555,91.577,,89.254,89.054,91.578,85.153
24.573,24.262,0.344,0.361,0.333,0.353,98.246,98.245,103.053,96.204,98.246,,95.903,95.703,98.247,91.578
27.723,24.618,0.374,0.385,0.368,0.38,105.057,105.057,110.268,103.046,105.057,,102.745,102.545,105.058,98.247
27.839,27.777,0.395,0.403,0.389,0.399,112.295,112.294,116.582,110.261,112.294,,109.96,109.76,112.295,105.058
27.933,27.869,0.411,0.418,0.407,0.415,118.623,118.622,124.08,116.575,118.622,,116.274,116.074,118.623,112.295
28.037,27.967,0.426,0.433,0.422,0.429,126.141,126.14,130.573,124.073,126.141,,123.772,123.572,126.141,118.624
28.159,28.085,0.44,0.447,0.436,0.443,132.576,132.575,137.837,130.566,132.575,,130.265,130.065,132.576,126.142
28.278,28.203,0.455,0.464,0.451,0.46,139.922,139.921,144.432,137.83,139.922,,137.529,137.329,139.922,132.577
28.416,28.335,0.476,0.496,0.47,0.484,146.463,146.462,151.047,144.425,146.463,,144.124,143.924,146.463,139.923
28.584,28.464,0.523,0.542,0.535,0.549,153.129,153.128,156.972,151.04,153.128,,150.739,150.538,153.129,146.464
32.196,28.604,0.554,0.564,0.56,0.569,159.002,159.001,163.157,156.965,159.001,,156.664,156.464,159.002,153.13
32.319,32.237,0.574,0.582,0.578,0.587,165.224,165.223,168.872,163.15,165.223,,162.849,162.649,165.224,159.003
32.439,32.365,0.591,0.599,0.595,0.603,170.874,170.873,174.654,168.865,170.873,,168.564,168.364,170.874,165.224
32.537,32.468,0.608,0.617,0.613,0.622,176.671,176.67,181.087,174.647,176.67,,174.346,174.146,176.671,170.874
32.653,32.583,0.627,0.638,0.633,0.645,183.152,183.151,188.174,181.08,183.152,,180.779,180.579,183.152,176.671
32.783,32.709,0.652,0.672,0.661,0.694,190.26,190.259,194.089,188.168,190.26,,187.866,187.666,190.261,183.153
32.92,32.838,0.742,0.772,0.719,0.758,196.109,196.108,200.904,194.081,196.108,,193.781,193.58,202.915,190.261
33.068,32.974,0.801,0.845,0.786,0.818,202.914,202.913,207.887,200.897,202.914,,200.596,200.396,209.978,196.11
33.397,33.12,0.912,0.932,0.892,0.924,209.978,209.977,213.946,213.939,209.978,,207.578,207.378,216.035,202.915
33.591,33.441,0.947,0.962,0.94,0.954,216.035,216.034,220.868,220.861,216.035,,213.638,213.438,222.961,209.979
33.77,33.607,0.98,1.017,0.97,0.992,222.96,222.96,227.223,227.216,222.96,,220.56,220.36,229.314,216.036
33.925,33.837,1.03,1.066,1.054,1.077,229.313,229.313,233.915,233.908,229.313,,226.915,226.715,235.922,222.961
34.048,33.978,1.085,1.103,1.095,1.112,235.921,235.92,241.256,241.249,235.921,,233.607,233.407,243.336,229.314
34.177,34.107,1.121,1.141,1.13,1.152,243.335,243.334,247.047,247.04,243.335,,240.948,240.748,249.101,235.922
34.332,34.245,1.167,1.255,1.193,1.223,249.101,249.1,253.4,253.393,249.1,,246.739,246.539,255.434,243.336
34.508,34.404,1.306,1.407,1.28,1.455,255.433,255.433,266.441,260.211,255.433,,253.092,252.892,262.284,249.101
35.055,34.584,1.741,1.905,2.331,2.391,262.284,262.283,272.114,266.434,262.284,,259.91,259.71,268.465,255.434
35.21,35.12,1.959,2.659,2.534,2.642,268.465,268.464,279.105,272.107,268.464,,266.133,265.933,274.146,262.285
35.364,35.277,2.677,2.691,2.669,2.684,274.146,274.145,285.319,279.098,274.145,,271.806,271.606,281.132,268.466
35.561,35.449,2.702,2.712,2.697,2.708,281.132,281.131,292.117,285.312,281.131,,278.797,278.597,287.348,274.146
36.742,35.629,2.722,2.731,2.717,2.727,287.348,287.347,298.617,292.11,287.347,,285.011,284.811,294.147,281.132
37.06,36.807,2.743,2.756,2.737,2.749,294.146,294.146,304.74,298.61,294.146,,291.809,291.609,300.691,287.348
37.498,37.123,2.802,2.815,2.766,2.792,300.69,300.689,310.551,304.733,300.69,,298.309,298.109,306.805,294.147
38.357,37.562,2.825,2.833,2.809,2.82,306.804,306.803,316.933,310.544,306.804,,304.432,304.232,312.599,300.691
38.487,38.427,2.841,2.85,2.83,2.838,312.599,312.598,323.352,316.926,312.598,,310.242,310.042,319.024,306.805
38.598,38.541,2.857,2.864,2.846,2.853,319.024,325.403,329.897,323.345,319.024,,316.625,316.425,325.404,312.6
38.733,38.665,2.872,2.879,2.861,2.868,325.404,331.933,335.718,329.89,325.404,,323.044,322.844,331.934,319.025
38.862,38.797,2.888,2.897,2.876,2.884,331.934,337.778,341.671,335.711,331.933,,329.589,329.389,337.779,325.405
39.005,38.93,2.907,2.922,2.892,2.901,337.779,343.716,347.998,341.664,337.778,,335.41,335.21,343.717,331.935
39.171,39.075,2.954,2.971,2.914,2.963,343.717,350.08,354.441,347.991,343.716,,341.363,341.163,350.082,337.779
39.892,39.241,2.985,3.0,2.978,2.992,350.081,356.528,360.826,354.434,350.081,,347.69,347.49,356.53,343.717
40.044,39.951,3.017,3.074,3.008,3.031,356.529,362.884,366.804,360.819,356.529,,354.133,353.933,362.885,350.082
40.198,40.117,3.091,3.105,3.061,3.083,362.885,368.833,372.43,366.797,362.885,,360.518,360.318,368.835,356.53
40.372,40.271,3.117,3.129,3.098,3.111,368.834,374.463,378.458,372.423,368.834,,366.495,366.295,374.464,362.886
43.117,40.453,3.141,3.153,3.123,3.135,374.464,380.543,384.995,378.451,374.464,,372.122,371.922,380.544,368.835
43.251,43.171,3.166,3.179,3.147,3.16,380.544,387.055,391.151,384.988,380.544,,378.15,377.95,387.056,374.465
