Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: Omer1-22.12.24 Finished,Trial name: Omer1-22.12.24 started
55.038,55.093,0.0,0.05,0.276,0.353,5.566,5.565,3.566,3.564,5.565,1295.021,3.255,3.055,5.567,0.0
55.266,55.296,0.993,1.102,3.587,3.633,11.401,11.4,9.406,9.399,11.401,,9.098,8.898,11.401,5.568
55.382,55.409,1.413,3.116,9.199,9.223,17.667,17.666,15.672,15.665,17.667,,15.364,15.164,17.667,11.402
55.494,55.537,3.217,3.542,9.245,9.264,24.424,24.424,22.43,22.423,24.424,,22.122,21.921,24.425,17.668
55.609,55.65,3.85,4.022,9.285,9.312,30.455,30.454,28.46,28.453,30.454,,28.152,27.952,30.455,24.425
55.74,55.764,4.096,9.236,9.344,9.38,36.91,36.909,34.915,34.908,36.909,,34.607,34.407,36.91,30.456
55.853,55.9,9.211,9.273,9.575,9.661,42.417,42.416,40.422,40.415,42.416,,40.114,39.914,42.417,36.911
55.984,56.03,9.255,9.328,9.69,9.734,49.387,49.386,47.392,47.385,49.387,,47.084,46.884,49.387,42.417
56.311,56.35,9.298,9.411,9.767,9.83,56.842,56.841,54.847,54.84,56.842,,54.539,54.339,56.842,49.388
56.437,56.497,9.361,9.501,9.849,9.867,62.951,62.95,60.956,60.949,62.95,,60.648,60.448,62.951,56.843
56.589,56.655,9.432,9.676,9.888,9.935,69.205,69.204,67.21,67.203,69.204,,66.902,66.702,69.205,62.951
56.754,56.808,9.552,9.752,9.953,9.968,75.458,75.457,73.463,73.456,75.457,,73.155,72.955,75.458,69.205
57.2,57.249,9.707,9.816,9.984,10.001,81.202,81.201,79.207,79.201,81.202,,78.899,78.699,81.203,75.459
57.346,57.4,9.785,9.857,10.018,10.035,88.019,88.018,86.025,86.018,88.019,,85.717,85.517,88.02,81.203
57.556,57.605,9.839,9.945,10.049,10.073,93.904,93.903,91.909,91.902,93.903,,91.601,91.401,93.904,88.02
57.681,57.759,9.876,9.976,10.091,10.185,100.888,100.888,98.894,98.887,100.888,,98.586,98.386,100.889,93.904
57.824,57.927,9.961,10.01,10.199,10.209,107.313,107.312,105.318,105.311,107.312,,105.01,104.81,107.313,100.889
58.045,58.131,9.992,10.043,10.218,10.224,114.584,114.583,112.589,112.582,114.583,,112.281,112.081,114.584,107.313
60.595,60.664,10.028,10.111,10.231,10.237,121.5,121.499,119.505,119.498,121.499,,119.197,118.997,121.5,114.584
67.385,67.439,10.058,10.193,10.243,10.249,127.522,127.521,125.527,125.52,127.521,,125.219,125.019,127.522,121.5
67.54,67.584,10.176,10.213,10.254,10.26,134.655,134.654,132.66,132.653,134.654,,132.352,132.152,134.655,127.522
67.646,67.696,10.204,10.228,10.265,10.271,141.337,141.336,139.343,139.336,141.337,,139.035,138.835,141.338,134.655
67.765,67.825,10.221,10.24,10.276,10.281,147.867,147.866,145.873,145.866,147.867,,145.565,145.365,147.868,141.338
67.897,67.952,10.234,10.252,10.286,10.292,154.752,154.751,152.757,152.75,154.751,,152.449,152.249,154.752,147.868
68.038,68.074,10.246,10.263,10.297,10.303,160.632,160.632,158.638,158.631,160.632,,158.33,158.13,160.633,154.752
68.15,68.22,10.257,10.273,10.31,10.317,167.748,167.747,165.754,165.747,167.748,,165.446,165.246,167.748,160.633
68.31,68.367,10.268,10.284,10.324,10.332,173.335,173.334,171.34,171.333,173.334,,171.032,170.832,173.335,167.749
68.465,68.507,10.279,10.294,10.339,10.347,179.503,179.502,177.508,177.501,179.502,,177.2,177.0,179.503,173.335
69.328,69.391,10.289,10.306,10.354,10.361,186.856,186.855,184.861,184.854,186.856,,184.553,184.353,186.856,179.504
69.46,69.516,10.301,10.32,10.369,10.378,193.931,193.93,191.937,191.93,193.931,,191.629,191.429,193.932,186.857
73.418,73.46,10.313,10.335,10.389,10.41,199.93,199.929,197.936,197.929,199.93,,197.628,197.428,199.931,193.932
73.638,73.681,10.328,10.35,10.423,10.448,206.938,206.937,204.943,204.936,206.937,,204.635,204.435,206.938,199.931
73.769,73.828,10.343,10.365,10.464,10.478,213.465,213.464,211.47,211.463,213.464,,211.162,210.962,213.465,206.939
73.886,73.948,10.358,10.383,10.495,10.513,219.713,219.712,217.718,217.711,219.712,,217.41,217.21,219.713,213.465
74.009,74.08,10.374,10.439,10.525,10.535,226.373,226.372,224.378,224.371,226.372,,224.07,223.87,226.373,219.714
74.148,74.228,10.397,10.47,10.543,10.549,232.151,232.15,230.156,230.149,232.15,,229.848,229.648,232.151,226.373
74.336,74.36,10.456,10.503,10.556,10.562,238.111,238.11,236.116,236.109,238.11,,235.808,235.608,238.111,232.151
74.73,74.806,10.486,10.53,10.567,10.572,243.925,243.924,241.93,241.923,243.924,,241.621,241.421,243.925,238.111
74.889,74.96,10.52,10.546,10.577,10.583,250.336,250.335,248.342,248.335,250.336,,248.033,247.834,250.337,243.926
75.024,75.112,10.539,10.559,10.589,10.595,256.0,255.999,254.005,253.998,255.999,,253.697,253.497,256.0,250.337
75.244,75.315,10.553,10.569,10.601,10.608,262.555,262.554,260.56,260.553,262.554,,260.252,260.052,262.555,256.0
75.736,75.844,10.564,10.581,10.615,10.623,268.387,268.386,266.393,266.386,268.387,,266.085,265.885,268.388,262.555
79.359,79.458,10.575,10.592,10.634,10.646,274.551,274.55,272.556,278.398,274.55,,272.248,272.048,274.551,268.388
79.532,79.619,10.585,10.604,10.657,10.671,280.4,280.399,278.405,284.943,280.399,,278.097,277.897,280.4,274.551
79.687,79.796,10.598,10.619,10.684,10.695,286.944,286.943,284.95,290.798,286.944,,284.641,284.442,286.945,280.401
79.858,79.946,10.611,10.639,10.704,10.712,292.799,292.798,290.805,296.632,292.799,,290.497,290.297,292.8,286.945
80.013,80.096,10.629,10.664,10.719,10.725,298.634,298.633,296.64,302.714,298.634,,296.332,296.132,298.635,292.8
80.193,80.31,10.651,10.69,10.731,10.736,304.715,304.714,302.721,309.797,304.715,,302.413,302.213,304.715,298.635
85.962,86.012,10.677,10.708,10.741,10.746,311.799,311.798,309.804,316.144,311.798,,309.496,309.296,311.799,304.716
86.521,86.583,10.699,10.722,10.75,10.754,318.146,318.145,316.151,321.873,318.145,,315.843,315.643,318.146,311.8
86.661,86.745,10.715,10.733,10.758,10.761,323.875,323.874,321.88,328.341,323.875,,321.572,321.372,323.875,318.147
86.799,86.894,10.728,10.744,10.765,10.768,330.343,330.342,328.348,335.606,330.343,,328.04,327.84,330.343,323.876
86.956,87.042,10.739,10.752,10.772,10.774,337.607,337.606,335.613,342.947,337.607,,335.305,335.105,337.608,330.344
