Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: Omer1-22.12.24 Finished,Trial name: Omer1-22.12.24 started
4.964,5.017,0.143,0.274,0.0,0.176,6.091,6.088,4.088,4.087,6.09,1317.969,3.778,3.577,6.092,0.0
16.967,17.055,0.38,0.624,0.243,0.427,12.504,12.503,10.509,10.502,12.504,,10.201,10.001,12.505,6.094
17.133,17.181,0.689,0.811,0.479,0.553,18.747,18.746,16.752,16.745,18.747,,16.444,16.244,18.747,12.505
17.257,17.309,1.032,1.072,0.851,0.933,25.893,25.892,23.899,23.892,25.893,,23.591,23.391,25.894,18.748
17.382,17.436,1.103,1.145,1.003,1.051,33.306,33.305,31.311,31.304,33.305,,31.003,30.803,33.306,25.894
17.517,17.57,1.288,1.322,1.086,1.123,39.891,39.891,37.897,37.89,39.891,,37.589,37.389,39.892,33.307
17.642,17.695,1.348,1.382,1.173,1.241,45.613,45.612,43.617,43.61,45.613,,43.308,43.108,45.613,39.892
17.774,17.827,1.439,1.466,1.308,1.336,52.367,52.366,50.373,50.366,52.367,,50.064,49.864,52.368,45.614
17.909,17.962,1.487,1.57,1.364,1.454,58.033,58.032,56.038,56.031,58.032,,55.73,55.53,58.033,52.368
18.04,18.103,1.594,1.62,1.477,1.499,65.481,65.48,63.487,63.48,65.481,,63.179,62.979,65.482,58.034
18.186,18.244,1.719,1.816,1.556,1.582,72.916,72.915,70.92,70.914,72.915,,70.612,70.412,72.916,65.482
18.353,18.405,1.854,1.887,1.606,1.638,79.717,79.716,77.723,77.715,79.717,,77.414,77.214,79.717,72.916
18.524,18.573,1.912,1.941,1.697,1.749,86.943,86.942,84.949,84.942,86.943,,84.64,84.44,86.944,79.718
18.661,18.717,1.961,1.98,1.837,1.869,94.174,94.173,92.18,92.172,94.173,,91.871,91.671,94.174,86.944
18.799,18.867,2.003,2.408,1.929,1.952,100.097,100.096,98.102,98.095,100.097,,97.794,97.594,100.097,94.174
18.948,19.016,2.506,2.599,1.971,1.991,105.857,105.856,103.862,103.854,105.856,,103.553,103.353,105.857,100.098
19.1,19.164,2.695,2.73,2.022,2.085,113.238,113.237,111.24,111.234,113.237,,110.932,110.732,113.238,105.857
19.241,19.312,2.864,2.996,2.162,2.279,120.446,120.445,118.451,118.444,120.445,,118.142,117.942,120.446,113.238
19.392,19.464,3.052,3.227,2.372,2.712,126.771,126.77,124.777,131.465,126.77,,124.468,124.268,126.771,120.446
19.546,19.617,3.317,3.441,2.749,2.892,133.467,133.466,131.472,137.287,133.466,,131.164,130.964,133.467,126.772
19.914,19.971,3.513,3.538,2.975,3.019,139.288,139.287,137.295,143.825,139.288,,136.986,136.786,139.288,133.468
20.045,20.114,3.557,3.574,3.189,3.527,145.826,145.825,143.832,149.363,145.826,,143.524,143.324,145.827,139.289
20.225,20.302,3.592,3.618,3.548,3.567,151.364,151.364,149.37,156.758,151.364,,149.062,148.862,151.365,145.827
20.369,20.434,3.646,3.729,3.583,3.606,158.76,158.759,156.765,164.039,158.759,,156.456,156.256,158.76,151.365
20.505,20.588,3.791,3.865,3.632,3.884,166.041,166.04,164.046,169.815,166.041,,163.738,163.538,166.041,158.76
20.674,20.754,3.898,3.924,3.912,3.94,171.817,171.816,169.822,176.487,171.816,,169.514,169.314,171.817,166.042
20.853,20.915,3.959,3.993,4.007,4.029,178.488,178.488,176.493,189.996,178.488,,176.183,175.983,178.489,171.818
21.001,21.073,4.018,4.038,4.046,4.06,184.878,184.877,182.883,197.277,184.877,,182.575,182.375,184.878,178.489
