Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: Omer1-22.12.24 Finished,Trial name: Omer1-22.12.24 started
0.422,0.496,0.0,0.144,0.16,0.181,6.756,6.755,4.756,4.754,6.756,1295.236,4.447,4.247,6.757,0.0
2.436,2.493,0.171,0.189,0.197,0.211,12.476,12.475,10.481,10.474,12.475,,10.173,9.973,12.476,6.759
4.62,3.257,0.204,0.217,0.224,0.236,18.612,18.611,16.617,16.61,18.611,,16.309,16.109,18.612,12.476
5.924,3.451,0.231,0.242,0.247,0.261,25.629,25.628,23.635,23.627,25.628,,23.326,23.126,25.629,18.613
7.57,4.688,0.254,0.268,0.275,0.297,32.391,32.39,30.396,30.39,32.391,,30.088,29.888,32.392,25.63
7.805,5.994,0.284,0.346,0.33,0.357,37.928,37.928,35.934,35.927,37.928,,35.626,35.426,37.929,32.392
8.009,7.626,0.366,0.379,0.373,0.385,44.814,44.813,42.819,42.812,44.813,,42.511,42.311,44.814,37.929
8.452,7.873,0.389,0.399,0.395,0.404,51.691,51.69,49.696,49.689,51.69,,49.388,49.188,51.691,44.814
8.694,8.066,0.408,0.417,0.412,0.422,58.159,58.158,56.164,56.157,58.158,,55.856,55.656,58.159,51.691
9.475,8.549,0.426,0.436,0.432,0.442,64.062,64.061,62.067,62.06,64.061,,61.759,61.559,64.062,58.16
14.433,8.792,0.448,0.467,0.456,0.524,69.87,69.869,67.876,67.869,69.87,,67.567,67.367,69.87,64.063
21.526,9.542,0.512,0.533,0.543,0.566,76.406,76.405,74.412,74.405,76.406,,74.103,73.903,76.407,69.871
21.703,14.48,0.554,0.596,0.647,0.683,82.424,82.424,80.43,80.423,82.424,,80.122,79.922,82.425,76.407
21.838,21.59,0.615,0.665,0.728,0.834,88.973,88.973,86.979,86.972,88.973,,86.671,86.471,88.974,82.425
21.965,21.752,0.701,0.943,0.877,1.01,95.989,95.988,93.994,100.628,95.988,,93.686,93.486,95.989,88.974
22.095,21.883,0.998,1.018,1.025,1.037,102.63,102.629,100.635,107.907,102.629,,100.327,100.127,102.63,95.989
22.223,22.006,1.031,1.043,1.047,1.058,109.909,109.908,107.914,114.67,109.909,,107.606,107.406,109.909,102.63
