Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: first_v7 Finished,Trial name: first_v7 started
0.946,1.01,0.0,0.206,0.056,0.819,6.693,6.692,4.671,4.669,6.693,1328.413,4.361,4.161,6.694,0.0
1.139,1.234,0.264,0.349,0.866,0.888,13.675,13.674,11.604,11.597,13.675,,11.295,11.095,13.676,6.695
1.657,1.733,0.423,0.543,0.914,1.061,20.667,20.667,18.665,18.658,20.667,,18.357,18.157,20.668,13.676
9.602,9.687,0.593,0.853,1.108,1.148,26.99,34.132,24.99,24.983,26.99,,24.682,24.482,26.991,20.668
11.635,11.704,0.877,0.899,1.219,1.333,34.133,41.259,32.108,32.102,34.133,,31.801,31.601,34.133,26.991
11.76,11.794,0.988,1.037,1.437,1.485,41.26,48.054,39.245,39.238,41.259,,38.937,38.737,41.26,34.134
11.852,11.895,1.084,1.127,1.562,1.656,48.055,54.515,46.038,46.031,48.054,,45.73,45.53,48.055,41.26
11.961,12.007,1.248,1.302,1.764,1.856,54.516,60.517,52.507,52.5,54.515,,52.199,51.999,54.516,48.055
12.081,12.126,1.363,1.417,2.075,2.138,60.518,67.909,58.452,58.445,60.517,,58.144,57.944,60.518,54.517
16.154,16.205,1.457,1.63,2.269,2.32,67.91,75.277,65.848,65.841,67.909,,65.54,65.34,67.91,60.518
16.262,16.306,1.677,1.73,2.342,2.358,75.278,82.819,73.257,73.25,75.277,,72.949,72.749,75.278,67.91
16.365,16.414,1.906,2.026,2.373,2.386,82.82,90.091,80.749,80.742,82.819,,80.441,80.241,82.82,75.278
16.484,16.533,2.175,2.223,2.4,2.414,90.092,96.194,88.035,88.028,90.091,,87.727,87.527,90.092,82.82
16.628,16.651,2.301,2.332,2.431,2.456,96.195,103.747,94.119,94.112,96.194,,93.811,93.611,96.195,90.092
18.589,18.635,2.351,2.366,2.495,2.528,103.748,110.861,101.663,101.656,103.747,,101.355,101.155,103.748,96.195
18.702,18.754,2.379,2.393,2.551,2.569,110.862,117.695,108.813,108.806,110.861,,108.505,108.305,110.862,103.748
18.811,18.853,2.406,2.423,2.585,2.601,117.696,125.071,115.656,115.649,117.696,,115.348,115.148,117.697,110.862
18.913,18.958,2.442,2.474,2.616,2.637,125.072,131.296,123.022,123.015,125.072,,122.714,122.514,125.073,117.697
19.026,19.073,2.514,2.54,2.701,2.727,131.296,138.778,129.214,129.207,131.296,,128.906,128.706,131.297,125.073
19.148,19.195,2.561,2.578,2.747,2.765,138.779,145.818,136.708,136.701,138.779,,136.4,136.2,138.78,131.297
19.296,19.316,2.593,2.609,2.789,2.871,145.819,151.743,143.818,143.811,145.818,,143.511,143.31,145.819,138.78
20.547,20.599,2.626,2.658,2.933,3.033,151.744,158.73,149.721,149.714,151.743,,149.413,149.213,151.744,145.819
20.665,20.84,2.677,2.715,3.048,3.06,158.731,171.969,156.694,156.687,158.73,,156.386,156.186,158.731,151.744
20.793,25.176,2.737,2.755,3.074,3.091,165.737,179.31,163.74,163.733,165.737,,163.433,163.233,165.737,158.731
25.138,25.283,2.775,2.807,3.125,3.15,171.97,186.006,169.956,169.949,171.97,,169.648,169.448,171.971,165.738
25.242,25.387,2.85,2.9,3.191,3.224,179.311,192.498,177.235,177.228,179.311,,176.927,176.727,186.007,171.971
25.345,28.567,3.02,3.041,3.333,3.36,186.007,199.393,183.978,183.971,186.006,,183.67,183.47,192.499,179.312
28.52,28.672,3.054,3.068,3.391,3.412,192.499,205.71,190.471,190.464,192.498,,190.163,189.963,199.394,186.007
28.625,28.779,3.083,3.104,3.429,3.446,199.394,212.939,197.392,197.385,199.393,,197.084,196.884,205.711,192.499
28.75,28.923,3.173,3.205,3.469,3.505,205.711,219.511,203.651,203.644,205.71,,203.343,203.143,212.94,199.394
