Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: first_v7 Finished,Trial name: first_v7 started
4.724,4.787,0.056,0.168,0.0,0.032,6.529,6.528,4.484,4.481,6.529,1307.786,4.173,3.973,6.53,0.0
4.875,4.92,0.193,0.227,0.078,0.091,13.441,13.44,11.403,11.396,13.441,,11.095,10.895,13.441,6.531
11.398,11.453,0.416,0.521,0.154,0.182,19.7,19.699,17.691,17.684,19.7,,17.382,17.182,19.701,13.442
11.545,11.595,0.567,0.606,0.206,0.398,25.56,25.559,23.472,23.465,25.559,,23.164,22.964,25.56,19.701
11.701,11.733,0.748,0.811,0.435,0.586,32.001,32.0,29.983,29.977,32.0,,29.675,29.475,32.001,25.56
17.712,17.727,1.098,1.956,0.722,0.984,38.041,38.041,36.03,36.023,38.041,,35.721,35.521,38.042,32.002
17.819,17.875,2.001,2.074,1.442,1.465,44.242,44.241,42.209,42.202,44.241,,41.901,41.701,44.242,38.042
23.551,23.607,2.219,2.381,1.794,2.158,50.002,50.001,47.96,47.953,50.001,,47.652,47.452,50.002,44.242
30.04,30.112,2.48,2.681,2.302,2.422,55.775,55.774,53.741,53.734,55.775,,53.433,53.233,55.775,50.002
36.304,36.381,2.732,2.78,2.45,2.571,62.398,62.398,60.308,60.301,62.398,,60.0,59.8,62.399,55.776
36.393,36.422,2.861,2.898,2.707,3.13,69.782,69.781,67.746,67.739,69.782,,67.438,67.238,69.782,62.399
36.495,36.546,3.112,3.149,3.231,3.64,77.303,77.302,75.289,75.282,77.303,,74.981,74.781,77.304,69.783
36.611,36.653,3.203,3.43,3.66,4.326,84.634,84.633,82.621,82.614,84.634,,82.313,82.113,84.635,77.304
36.716,36.766,3.73,3.794,4.414,4.51,91.029,91.028,88.936,88.929,91.029,,88.628,88.428,91.03,84.635
36.833,36.881,4.552,4.619,4.583,4.641,97.194,97.193,95.138,95.131,97.193,,94.83,94.63,97.194,91.03
36.95,36.993,4.653,4.684,4.668,4.705,103.554,103.553,101.484,101.477,103.554,,101.176,100.976,103.555,97.194
37.061,37.108,4.723,4.747,4.737,4.758,109.358,109.358,107.282,107.275,109.358,,106.974,106.774,109.359,103.555
37.175,37.22,4.77,4.837,4.795,4.816,116.813,116.812,114.801,114.794,116.813,,114.493,114.293,116.814,109.359
37.29,37.336,4.857,4.877,4.847,4.867,122.882,122.881,120.844,120.837,122.881,,120.536,120.336,122.882,116.814
37.404,37.447,4.899,4.928,4.887,4.911,128.643,128.643,126.639,126.632,128.643,,126.331,126.131,128.644,122.882
37.522,37.565,4.965,5.034,4.944,5.059,134.858,134.857,132.834,132.827,134.858,,132.526,132.326,134.858,128.644
37.635,37.681,5.196,5.248,5.13,5.227,140.724,140.723,138.706,138.699,140.724,,138.398,138.198,140.724,134.859
37.753,37.798,5.343,5.376,5.27,5.357,147.898,147.897,145.886,145.879,147.898,,145.578,145.378,147.899,140.725
37.87,37.919,5.671,5.793,5.471,5.506,154.806,154.805,152.774,152.767,154.805,,152.466,152.266,154.806,147.899
37.994,38.181,5.832,5.887,5.59,5.639,161.635,161.634,159.572,159.565,161.634,,159.264,159.064,161.635,154.806
38.128,38.326,5.943,6.044,5.696,5.755,167.309,167.308,165.25,165.243,167.308,,164.942,164.742,167.309,161.635
38.266,38.454,6.601,7.175,5.86,6.228,174.781,174.78,172.687,172.68,174.781,,172.379,172.179,174.781,167.309
38.405,38.612,9.384,9.493,6.305,6.466,180.501,180.5,178.416,178.409,180.5,,178.107,177.907,180.501,174.782
38.544,38.775,9.797,9.971,6.813,7.915,187.569,187.568,185.513,185.506,187.568,,185.205,185.005,187.569,180.501
38.697,38.938,10.275,10.47,11.289,11.317,194.245,194.244,192.241,192.234,194.244,,191.933,191.733,194.245,187.569
38.861,39.119,10.576,10.695,11.36,11.386,201.275,201.275,199.19,199.183,201.275,,198.882,198.682,201.276,194.245
39.032,39.321,10.765,10.865,11.408,11.427,206.946,206.945,204.898,204.891,206.945,,204.59,204.39,206.946,201.276
39.229,39.532,10.977,11.042,11.459,11.48,212.964,212.963,210.871,210.864,212.963,,210.563,210.363,212.964,206.946
39.412,39.643,11.342,11.373,11.51,11.527,219.209,219.208,217.135,217.128,219.208,,216.827,216.627,219.209,212.964
39.571,39.82,11.397,11.418,11.545,11.609,225.527,225.526,223.519,223.512,225.527,,223.21,223.01,225.528,219.21
39.748,39.954,11.438,11.499,11.633,11.653,231.716,231.715,229.656,229.649,231.715,,229.348,229.148,231.716,225.528
39.891,40.112,11.519,11.536,11.673,11.698,237.63,237.629,235.584,235.576,237.63,,235.275,241.55,237.63,231.716
40.033,40.354,11.561,11.591,11.724,11.769,244.099,244.098,242.058,242.051,244.098,,241.75,247.673,244.099,237.631
40.259,40.561,11.621,11.643,11.821,11.887,250.195,250.194,248.181,248.174,250.194,,247.873,253.986,250.195,244.099
40.463,40.746,11.662,11.685,11.9,11.911,256.538,256.537,254.494,254.487,256.538,,254.186,261.434,256.539,250.195
40.656,40.906,11.71,11.741,11.919,11.928,263.977,263.976,261.942,261.935,263.977,,261.634,267.796,263.978,256.539
40.823,41.089,11.804,11.834,11.937,11.946,270.362,270.361,268.304,268.297,270.361,,267.996,273.562,270.362,263.978
