Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: first_v7 Finished,Trial name: first_v7 started
12.059,12.111,0.022,0.031,0.0,0.016,6.671,6.67,4.632,4.63,6.67,1320.617,4.321,4.121,6.672,0.0
12.321,12.357,0.041,0.049,0.027,0.036,13.784,13.784,11.721,11.714,13.784,,11.413,11.213,13.785,6.673
12.439,12.492,0.059,0.067,0.045,0.055,19.617,19.616,17.551,17.544,19.616,,17.243,17.043,19.617,13.785
12.574,12.622,0.077,0.087,0.063,0.072,25.402,25.401,23.4,23.393,25.402,,23.092,22.892,25.402,19.617
12.901,12.946,0.099,0.116,0.082,0.093,30.953,30.952,28.923,28.916,30.953,,28.614,28.415,30.954,25.403
13.047,13.097,0.137,0.162,0.107,0.125,37.281,37.28,35.237,35.23,37.281,,34.929,34.729,37.282,30.954
17.595,17.653,0.181,0.195,0.15,0.173,43.334,43.334,41.311,41.304,43.334,,41.003,40.803,43.335,37.282
17.737,17.767,0.21,0.226,0.189,0.203,49.103,49.102,47.037,47.03,49.102,,46.729,46.529,49.103,43.335
17.84,17.888,0.245,0.307,0.218,0.236,56.075,56.075,54.047,54.04,56.075,,53.739,53.539,56.076,49.103
17.96,18.01,0.33,0.362,0.259,0.294,63.518,63.517,61.449,61.442,63.518,,61.141,60.941,63.519,56.076
18.099,18.149,0.384,0.434,0.319,0.341,70.578,70.578,68.536,68.529,70.578,,68.228,68.028,70.579,63.519
23.631,23.669,0.489,0.512,0.415,0.467,76.601,76.6,74.561,74.554,76.601,,74.253,74.053,76.602,70.579
23.741,23.79,0.536,0.616,0.501,0.523,82.341,82.34,80.286,80.279,82.34,,79.978,79.778,82.341,76.602
23.865,23.911,0.651,0.686,0.559,0.636,87.926,87.925,92.696,85.855,87.925,,85.554,85.354,87.926,82.342
23.987,24.043,0.751,0.77,0.667,0.715,94.723,94.722,99.091,92.689,94.723,,92.388,92.188,94.724,87.927
24.128,24.182,0.808,0.828,0.795,0.818,101.171,101.17,105.693,99.084,101.17,,98.783,98.583,101.171,94.724
29.109,29.152,0.85,0.875,0.839,0.862,107.72,107.719,113.112,105.686,107.719,,105.385,105.185,107.72,101.171
29.222,29.261,0.903,0.925,0.889,0.915,115.165,115.165,120.2,113.105,115.165,,112.804,112.604,115.166,107.72
29.334,29.383,0.947,0.977,0.936,0.96,122.213,122.212,127.067,120.193,122.212,,119.892,119.692,122.213,115.166
29.486,29.525,1.017,1.051,1.036,1.075,129.126,129.125,134.067,127.06,129.125,,126.759,126.559,129.126,122.213
29.621,29.674,1.201,1.226,1.104,1.145,136.098,136.097,140.301,134.06,136.098,,133.759,133.559,136.099,129.126
29.766,29.822,1.25,1.281,1.184,1.215,142.378,142.378,147.179,140.294,142.378,,139.993,139.793,142.379,136.099
29.945,29.994,1.305,1.321,1.236,1.295,149.262,149.261,154.475,147.172,149.261,,146.871,146.671,149.262,142.379
30.091,30.151,1.34,1.363,1.314,1.33,156.539,156.538,161.232,154.468,156.538,,154.167,153.967,156.539,149.262
35.448,35.497,1.427,1.514,1.35,1.385,163.278,163.277,168.442,161.225,163.277,,160.924,160.724,163.278,156.539
35.563,35.61,1.626,1.723,1.478,1.664,170.488,170.487,175.161,168.435,170.487,,168.134,167.934,170.488,163.278
35.68,35.731,1.749,1.769,1.739,1.759,177.227,177.226,182.001,175.154,177.227,,174.853,174.653,177.227,170.489
35.805,35.859,1.793,1.823,1.78,1.805,184.015,184.014,189.237,181.994,184.014,,181.693,181.493,184.015,177.228
35.946,36.0,1.883,1.905,1.849,1.868,191.292,191.291,195.354,189.23,191.291,,188.929,188.729,191.292,184.015
36.085,36.137,1.933,2.076,1.894,1.918,197.442,197.441,201.354,195.347,197.442,,195.046,194.846,197.443,191.292
41.488,41.531,2.159,2.2,1.951,2.18,203.388,203.388,207.054,201.347,203.388,,206.746,200.846,203.389,197.443
41.6,41.642,2.325,2.368,2.224,2.255,209.129,209.128,214.467,207.047,209.129,,214.159,206.546,209.13,203.389
41.711,41.76,2.41,2.441,2.286,2.395,216.549,216.548,220.292,214.46,216.548,,219.984,213.959,216.549,209.13
41.987,42.029,2.59,2.626,2.425,2.465,222.366,222.365,227.234,220.285,222.365,,226.926,219.784,222.366,216.549
47.246,47.293,2.652,2.682,2.567,2.611,229.303,229.302,234.341,227.227,229.302,,234.033,226.726,229.303,222.367
47.36,47.405,2.704,2.725,2.638,2.667,236.373,236.372,241.857,234.334,236.372,,241.549,233.833,236.373,229.303
47.477,47.525,2.747,2.793,2.694,2.714,243.859,243.859,248.184,241.85,243.859,,247.876,241.349,243.86,236.373
47.598,47.652,2.811,2.824,2.735,2.804,250.26,250.259,255.609,248.177,250.259,,255.301,247.676,250.26,243.86
47.733,47.746,2.836,2.848,2.818,2.83,257.608,257.607,261.47,255.602,257.608,,261.162,255.101,257.609,250.26
47.75,47.787,2.862,2.879,2.842,2.855,263.526,263.525,267.244,261.463,263.526,,266.936,260.962,263.527,257.609
47.873,47.926,2.981,3.039,2.871,2.893,269.269,269.268,274.732,267.237,269.269,,274.425,266.736,269.269,263.527
48.004,48.058,3.074,3.097,2.951,3.012,276.801,276.8,282.238,274.726,276.801,,281.93,274.224,276.801,269.27
48.143,48.198,3.114,3.135,3.057,3.087,284.242,284.241,288.525,282.23,284.242,,288.217,281.73,284.242,276.802
54.217,54.259,3.167,3.187,3.105,3.123,290.598,290.597,294.41,288.518,290.597,,294.102,288.017,290.598,284.243
54.328,54.363,3.202,3.215,3.177,3.194,296.453,296.452,300.107,294.403,296.452,,299.799,293.902,296.453,290.598
54.433,54.48,3.23,3.248,3.209,3.223,302.192,302.191,307.452,300.1,302.191,,307.142,306.942,302.192,296.453
54.556,54.608,3.271,3.308,3.239,3.259,309.491,309.49,314.295,307.443,309.491,,313.987,313.787,309.491,302.192
54.688,54.74,3.361,3.438,3.286,3.394,316.325,316.325,321.143,321.136,316.325,,320.835,320.635,316.326,309.492
54.838,54.888,3.613,3.657,3.571,3.637,323.209,323.208,328.333,328.326,323.209,,328.025,327.825,323.21,316.326
61.627,61.672,3.69,3.716,3.674,3.703,330.366,330.365,335.428,335.421,330.365,,335.12,334.92,330.366,323.21
61.739,61.781,3.735,3.753,3.725,3.744,337.432,337.431,342.217,342.211,337.431,,341.91,341.71,337.433,330.367
61.85,61.899,3.772,3.833,3.762,3.785,344.262,344.261,348.956,348.949,344.262,,348.648,348.448,344.263,337.433
61.972,62.022,3.851,3.865,3.821,3.843,350.979,350.978,356.155,356.148,350.979,,355.847,355.647,350.98,344.263
68.522,68.57,3.878,3.892,3.858,3.871,358.187,358.186,362.382,362.375,358.186,,362.074,361.874,358.187,350.98
